frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07219493,1.331791e-07,0.18623,0.57658,0.06992805,0.09759107,0.07558972,0.05039491,0.05772811,0.05328849,0.02856743,0.04134182,0.08959523,0.02297008,0.09784338,0.0840068,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07215924,1.325985e-07,0.1823214,0.5828311,0.07032633,0.09550767,0.07556647,0.05065285,0.05847957,0.05326564,0.02852551,0.04259627,0.09124715,0.02273395,0.10223,0.08429614,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0722634,1.355961e-07,0.1769868,0.5964687,0.07057681,0.09405388,0.07554071,0.05057413,0.05812322,0.05329934,0.02847102,0.04482749,0.09267823,0.022182,0.1102057,0.08478125,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07215688,1.348067e-07,0.1727061,0.6008157,0.0705875,0.09290864,0.07552151,0.05036875,0.05795542,0.05324614,0.028497,0.05016348,0.09339099,0.02186347,0.1139887,0.08526547,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07195001,1.309308e-07,0.1679751,0.5921445,0.07069004,0.09178699,0.07550404,0.05026767,0.0576876,0.05317055,0.02846504,0.05781598,0.09320334,0.0218229,0.1182647,0.08559399,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0716363,1.274418e-07,0.163249,0.5801308,0.07086771,0.09091895,0.07549053,0.05027242,0.05728818,0.05314114,0.02846424,0.06864128,0.09278842,0.02182117,0.1204472,0.08584762,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07124791,1.262317e-07,0.158572,0.5690469,0.07092497,0.09028916,0.07548236,0.05027501,0.05693154,0.05310841,0.02845212,0.07928355,0.09249964,0.0217272,0.1228323,0.08610516,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07061622,1.244003e-07,0.1542936,0.5615315,0.07084849,0.08966035,0.07547782,0.05025237,0.05645357,0.05307713,0.0284367,0.08935644,0.09224936,0.02140764,0.1248042,0.08612312,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06956749,1.215217e-07,0.1500575,0.5602059,0.07079683,0.08947431,0.07547339,0.05015519,0.05597843,0.05309844,0.02836973,0.09748448,0.0918903,0.02094464,0.1283821,0.08599573,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06825831,1.176031e-07,0.1462379,0.550862,0.07096397,0.08990715,0.07547905,0.05029226,0.05552566,0.05319003,0.02828636,0.1034772,0.09153537,0.02044381,0.1334285,0.08594722,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06666897,1.163096e-07,0.1427671,0.5364075,0.07106499,0.08948044,0.075517,0.05079409,0.05522687,0.05313851,0.02819614,0.1109218,0.09122287,0.02008559,0.1366172,0.08589017,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06508803,1.147484e-07,0.1393981,0.5204787,0.07104813,0.08917774,0.07559006,0.05105456,0.05496493,0.05308282,0.02811826,0.1169247,0.09032793,0.01971824,0.138095,0.08592262,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06347638,1.130523e-07,0.1365222,0.5141754,0.07105365,0.0874693,0.07571103,0.05111422,0.0547133,0.0531859,0.02802911,0.1237765,0.08891438,0.01938426,0.1397413,0.08620474,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06189587,1.1152e-07,0.1336964,0.5004395,0.07074372,0.08649358,0.07574157,0.05121537,0.05395271,0.0533848,0.02793712,0.1292229,0.08795732,0.01937381,0.1384051,0.08638216,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06029388,1.08196e-07,0.1309981,0.4798906,0.07064415,0.08556903,0.07580142,0.05123972,0.05342845,0.05354968,0.0278392,0.1308039,0.08700027,0.01929033,0.1362625,0.08672183,0.0
