frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0661721,1.341105e-07,0.16149,0.67471,0.06982658,0.06285346,0.07543211,0.04957907,0.06544457,0.05220521,0.02835569,0.04792622,0.09584109,0.01643105,0.13106,0.08483182,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06628964,1.325426e-07,0.1599568,0.6745217,0.07056931,0.0628626,0.07541953,0.04986484,0.06523476,0.05229265,0.02835555,0.04887107,0.1007223,0.01682161,0.1361421,0.08518249,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06664284,1.304338e-07,0.155752,0.6760859,0.07097299,0.06339227,0.07540211,0.04989371,0.06443852,0.05236068,0.02835949,0.05054823,0.1024542,0.01676696,0.1418487,0.08556522,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06720885,1.279339e-07,0.1524455,0.6703419,0.07088699,0.06472123,0.07538749,0.04981012,0.06376986,0.0523384,0.02840459,0.05322948,0.1033356,0.01675139,0.145114,0.08609273,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06753992,1.242253e-07,0.1494106,0.6634373,0.07095116,0.06575288,0.07537948,0.04975443,0.06314176,0.05231119,0.02845625,0.0557743,0.1031225,0.01678556,0.1484239,0.08642142,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06771495,1.210092e-07,0.1461661,0.6542952,0.07129507,0.06638387,0.07537168,0.04972794,0.06255404,0.05233668,0.0284835,0.0583059,0.1028699,0.01686678,0.151619,0.08679376,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06785456,1.18313e-07,0.1427942,0.6444973,0.07166397,0.06708603,0.07536752,0.04967596,0.06188267,0.05237125,0.02850033,0.06075861,0.1022616,0.01694801,0.1524777,0.08706971,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06790718,1.165107e-07,0.1396308,0.6419362,0.07198351,0.06792063,0.07536417,0.04965945,0.06125414,0.05240743,0.02848056,0.06397279,0.1019113,0.01697819,0.1526586,0.08731009,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06823193,1.145305e-07,0.1367752,0.6481931,0.0722579,0.06867293,0.07536325,0.04965016,0.06051777,0.0524986,0.02845569,0.06672533,0.1011499,0.0169097,0.1539562,0.08739192,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06835859,1.128479e-07,0.1341587,0.6609383,0.07257976,0.06938437,0.07535686,0.0497418,0.05984241,0.0525819,0.02839283,0.06961425,0.1010749,0.01669769,0.1560058,0.08736569,0.0
