frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03389652,1.918525e-07,0.0773401,0.06730564,0.05715323,0.05348628,0.07559235,0.04350942,0.0323572,0.07988619,0.02787461,0.0324661,0.05171785,0.00901732,0.0460474,0.08006201,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03393153,1.883684e-07,0.07734174,0.06675948,0.05723121,0.05354729,0.0755793,0.04354338,0.03243733,0.08112369,0.02802062,0.03249168,0.05174924,0.009008185,0.04728717,0.07987509,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0339653,1.873082e-07,0.07734063,0.06591296,0.05732988,0.05383544,0.07556937,0.04356303,0.03243779,0.08355008,0.0281297,0.03268316,0.05178174,0.009048686,0.04912375,0.07971289,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03399685,1.855011e-07,0.07733368,0.06513348,0.05753911,0.0541669,0.07556041,0.04358269,0.03245167,0.08530333,0.02821627,0.03287563,0.05180364,0.009121603,0.05108189,0.07958833,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03402913,1.827615e-07,0.07732631,0.06439318,0.05777389,0.05447476,0.07555167,0.04360178,0.03247618,0.08663303,0.02829799,0.03302658,0.05182676,0.009138582,0.05286708,0.07947499,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03404004,1.810056e-07,0.07731615,0.06359255,0.05789026,0.05462565,0.07554721,0.04361055,0.03253622,0.08733398,0.02832137,0.03312121,0.05183871,0.009119725,0.0543334,0.07936828,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03405233,1.813335e-07,0.07731155,0.06312059,0.05800918,0.05478048,0.07554013,0.04362043,0.03259256,0.08809552,0.02837044,0.03331095,0.05186059,0.009124192,0.05561063,0.07925864,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03408986,0.00166252,0.07736656,0.0624952,0.05823209,0.05491284,0.07553521,0.04362507,0.03264124,0.08875668,0.02842628,0.03343297,0.05187373,0.009115413,0.05617234,0.07916467,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03434153,0.02623411,0.07738812,0.06236006,0.05853371,0.05513431,0.07552271,0.04361581,0.03271873,0.08815414,0.02847238,0.03342552,0.05185998,0.009079001,0.05639415,0.07911729,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0356934,0.08694746,0.07768927,0.0619947,0.05868381,0.05549696,0.07550941,0.04360803,0.03287912,0.08656969,0.02848161,0.03333854,0.05188942,0.009011867,0.0557747,0.07905108,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05317959,0.1438754,0.0786189,0.06961657,0.05892397,0.05582287,0.0754926,0.04364851,0.03303372,0.08492306,0.02851535,0.03336338,0.05193499,0.008930897,0.05480826,0.07902738,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.09689127,0.1972539,0.07879951,0.07957954,0.0590977,0.05574196,0.07547554,0.04372194,0.03315988,0.08329144,0.02859954,0.03331012,0.05194969,0.008884417,0.05386874,0.07903478,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.1517253,0.2473044,0.07875699,0.09354638,0.05932352,0.0555635,0.07545965,0.04384108,0.03327747,0.08167721,0.0287678,0.03327198,0.05193597,0.008860298,0.05284585,0.07907262,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2046144,0.2942342,0.07867011,0.1232597,0.05995781,0.05537621,0.07544256,0.04393362,0.03348024,0.08005863,0.02897232,0.033329,0.05191905,0.008778527,0.05161637,0.07915912,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2542059,0.338238,0.07863658,0.1565709,0.06038775,0.05519211,0.0754265,0.04402911,0.03363897,0.07858718,0.0292236,0.03347467,0.05191662,0.008670637,0.05043148,0.07923194,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3007054,0.3794982,0.07868631,0.1860133,0.06078421,0.05500107,0.07541247,0.04408583,0.03372394,0.0772206,0.02945972,0.03347713,0.05191229,0.008561272,0.04940686,0.07930716,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3443058,0.4181859,0.07891098,0.2145471,0.06101599,0.05486184,0.07539979,0.04412931,0.03371028,0.07602403,0.02963131,0.03348108,0.05191035,0.0084701,0.04852605,0.07947866,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3851877,0.4544615,0.07930936,0.244948,0.06115743,0.05474599,0.07538933,0.04418303,0.03364628,0.07491922,0.02977753,0.03355777,0.05189836,0.008428656,0.04787672,0.07961568,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4235206,0.4884753,0.07974585,0.2728051,0.06114012,0.05465652,0.0753817,0.04424228,0.03357167,0.0738923,0.02989367,0.03366689,0.05188367,0.008410563,0.04723423,0.07974114,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4594635,0.5203683,0.08021481,0.2986154,0.06112575,0.05449775,0.07537378,0.04429759,0.03354957,0.07282515,0.02995378,0.03365508,0.0518517,0.008410922,0.04657418,0.07977935,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4931654,0.5502729,0.08071785,0.3279534,0.0609901,0.05435092,0.07536334,0.0443319,0.03348614,0.07184047,0.03001593,0.0336008,0.05182855,0.008369205,0.04603958,0.07973316,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5247661,0.578313,0.08124967,0.3514301,0.06073154,0.05423302,0.07535066,0.04440562,0.03344733,0.0710084,0.03004009,0.03357031,0.05180836,0.00833388,0.04571824,0.07975173,0.0
22,0.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5543965,0.6046048,0.08166421,0.3694676,0.06055119,0.05416948,0.07533817,0.04446768,0.03338676,0.07021673,0.0301404,0.03353699,0.05179962,0.00827056,0.04535376,0.079779,0.0
