frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03773063,8.195639e-08,0.07715254,0.05100105,0.05989661,0.05337315,0.07519773,0.04300853,0.03258149,0.09077193,0.02657217,0.03253765,0.05115406,0.008277496,0.0459098,0.08019968,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03747566,8.40468e-08,0.07714288,0.05079064,0.05967623,0.05365001,0.0751924,0.04303181,0.03247409,0.0909508,0.02668223,0.03271604,0.05120639,0.00912296,0.04526931,0.08007807,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03724844,8.891023e-08,0.07712699,0.05053629,0.0594676,0.05393991,0.0751873,0.04304709,0.03233422,0.09103166,0.02678044,0.03299378,0.05124292,0.0101296,0.04465311,0.07994459,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03703187,9.132195e-08,0.07709875,0.05029528,0.05922994,0.05412157,0.0751822,0.04305287,0.03225162,0.09086973,0.02683336,0.0330858,0.05127345,0.0107275,0.04419285,0.07980563,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03682994,9.451237e-08,0.0770575,0.04998473,0.0590147,0.05420786,0.07517657,0.0430708,0.03218805,0.09138744,0.02686214,0.03321027,0.05129554,0.01126427,0.04392047,0.07963508,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03663353,9.750388e-08,0.07704243,0.04966173,0.05871168,0.05443683,0.07517111,0.04307691,0.03208013,0.09087443,0.02690378,0.03315102,0.05128213,0.01156244,0.04335962,0.07954581,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03646241,9.9554e-08,0.07702319,0.04935945,0.05887725,0.05458445,0.07517217,0.04309188,0.03208381,0.0898343,0.02686946,0.03331662,0.05130383,0.01227381,0.04357807,0.07946099,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03629303,1.040312e-07,0.07701295,0.04913475,0.05881688,0.05470382,0.07517458,0.04310505,0.03202119,0.08828822,0.02680729,0.03364103,0.05152116,0.01499209,0.05320612,0.0797757,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03623865,6.79288e-05,0.07699292,0.04892147,0.05881445,0.05481818,0.0751863,0.0434905,0.0320076,0.08612178,0.02676854,0.0338674,0.05244683,0.01731035,0.1122378,0.08351067,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03621455,0.0001874937,0.0769693,0.04876633,0.05876781,0.05490934,0.07519814,0.04456403,0.03200034,0.08407605,0.02676832,0.03398038,0.05283275,0.01886929,0.1675889,0.08803967,0.0
