frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04631935,0.01353128,0.09379199,0.04242678,0.07102693,0.05659246,0.07524204,0.04753959,0.15275,0.29055,0.03007283,0.07089674,0.1732,0.01597025,0.02981839,0.07617215,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04635838,0.01301983,0.09383947,0.0423811,0.07116182,0.05656315,0.07523853,0.04738249,0.1529763,0.288066,0.02995348,0.07037822,0.1744164,0.01588196,0.02974786,0.0761639,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04601072,0.01220807,0.09363182,0.0423337,0.07128451,0.0563252,0.07524022,0.04721645,0.1520332,0.2890464,0.02986045,0.06963047,0.1734035,0.0166199,0.02964539,0.0762015,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04584445,0.01144692,0.09365529,0.04230586,0.07146677,0.0561586,0.07523971,0.04705506,0.1497224,0.2885865,0.02977947,0.06928809,0.1760687,0.01738295,0.0295501,0.07624221,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04570569,0.01073323,0.09392786,0.04228409,0.07176332,0.05606579,0.07524003,0.04687057,0.1473604,0.2877911,0.02969458,0.06861145,0.1764385,0.01779213,0.02947285,0.07627846,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04572045,0.01006403,0.0942222,0.04229615,0.07167986,0.05593022,0.07524347,0.04671381,0.1456246,0.2886826,0.02959588,0.06795793,0.1769236,0.01814629,0.02938524,0.07633646,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04564876,0.009436561,0.09427682,0.04233823,0.07135627,0.05580774,0.07524701,0.04657182,0.1439216,0.2881649,0.02953373,0.06766439,0.1763498,0.01844102,0.02930454,0.07638983,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04573035,0.008848212,0.09491859,0.04241046,0.07104067,0.05563812,0.07524788,0.04642674,0.142821,0.2894995,0.02948635,0.0673398,0.1731725,0.01885354,0.02919297,0.07641625,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04555937,0.008296547,0.09484397,0.04257134,0.07133422,0.05563146,0.07524738,0.04629332,0.1420671,0.2910957,0.02941276,0.06691018,0.1714079,0.01898919,0.02913163,0.07644934,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04528787,0.007779276,0.09503437,0.04278675,0.07171577,0.05557553,0.07524379,0.04615192,0.1413784,0.2929502,0.02933627,0.06663613,0.1702414,0.01933308,0.02907057,0.07646643,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04511845,0.007294257,0.09531765,0.0431042,0.07220344,0.05558962,0.0752401,0.04603761,0.1418779,0.2939316,0.02926573,0.06670871,0.1693142,0.01967448,0.028985,0.07645872,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04472996,0.006839477,0.09506456,0.04334652,0.07310759,0.0556073,0.07523674,0.04593448,0.1425701,0.2950481,0.02925293,0.0665357,0.166704,0.02006168,0.02890307,0.07645039,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04446158,0.006413053,0.09521343,0.04354658,0.07394897,0.05557099,0.07523392,0.04584307,0.1431711,0.2972342,0.02920735,0.06663451,0.1671247,0.02034205,0.0288442,0.07646558,0.0
