frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03888974,5.355105e-08,0.12794,0.04271887,0.07483789,0.04999374,0.07543987,0.04562699,0.12818,0.2075,0.0372851,0.11614,0.22059,0.02218965,0.02980673,0.07592809,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03878255,5.299941e-08,0.1271438,0.04270622,0.07443337,0.05006355,0.07543115,0.04556262,0.1271837,0.2079121,0.03725598,0.1135541,0.2211368,0.02229392,0.02979464,0.07592901,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03872244,5.312091e-08,0.1272009,0.04270121,0.07381924,0.05015747,0.0754227,0.0455354,0.125134,0.208894,0.03714134,0.1109033,0.2225193,0.02239916,0.02980372,0.07592589,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03878342,5.277029e-08,0.1273324,0.04268181,0.07306488,0.05022108,0.07541861,0.04549429,0.1230548,0.2088027,0.03693174,0.1079985,0.2236279,0.02250272,0.02987558,0.07591749,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03872227,5.183183e-08,0.1255955,0.04266115,0.07213824,0.05025602,0.07543106,0.04546984,0.1208179,0.2090102,0.03654169,0.1044633,0.2234266,0.02242094,0.03056462,0.07592025,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03852883,5.09664e-08,0.1236036,0.04265732,0.07151736,0.05039121,0.07544,0.04541069,0.1187726,0.2045447,0.03614849,0.1021979,0.2211181,0.02212153,0.03082708,0.07591088,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03837474,5.034364e-08,0.1220414,0.04265276,0.07112224,0.05054489,0.07548796,0.04538641,0.1171172,0.2008197,0.03582916,0.100031,0.2176161,0.02182269,0.03189074,0.0759026,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.038318,5.14727e-08,0.1213293,0.04265612,0.07070314,0.05075061,0.0755166,0.04536382,0.1147836,0.1961965,0.03565608,0.09818506,0.2164391,0.02134509,0.03289552,0.0759008,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03828532,5.238618e-08,0.1210045,0.04267193,0.07023821,0.05094484,0.07553577,0.04533779,0.1134522,0.192674,0.03533494,0.09600529,0.2152795,0.02079582,0.03373038,0.07589126,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03812941,5.211041e-08,0.1192981,0.04264939,0.06985969,0.05117769,0.07554929,0.04533065,0.1123038,0.1899797,0.03512294,0.09385391,0.2127295,0.02034846,0.03436829,0.07588948,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03795116,5.246153e-08,0.1172161,0.04265197,0.06950293,0.05132698,0.07555509,0.04532948,0.1105673,0.1879552,0.0348643,0.09220435,0.2083439,0.02001139,0.03478887,0.07588626,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03781064,5.244236e-08,0.1155125,0.04262552,0.06916767,0.05144847,0.07556165,0.04530481,0.1088759,0.1858618,0.03462304,0.09076372,0.2054556,0.0198094,0.03503949,0.07588041,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03765889,5.178565e-08,0.113984,0.04260115,0.06899374,0.05161287,0.07557476,0.04526903,0.1073394,0.1834077,0.03438338,0.08889301,0.2037768,0.01982387,0.03519258,0.0758737,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03753152,5.122795e-08,0.1125814,0.04262644,0.0687115,0.05170717,0.07557081,0.04526224,0.106194,0.1817605,0.03420968,0.08737253,0.2017719,0.0197785,0.03563713,0.07586853,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03742015,5.019693e-08,0.1113271,0.04263808,0.06838623,0.0517749,0.07556706,0.04529725,0.1049552,0.1807879,0.03396073,0.08608746,0.2007318,0.01971825,0.03628717,0.07586759,0.0
