frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04240056,8.847564e-08,0.17565,0.04338542,0.07218067,0.05037169,0.07552607,0.04870813,0.22473,0.17906,0.03396585,0.05288393,0.13963,0.02252483,0.04402966,0.07677642,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0423779,9.050799e-08,0.1749567,0.04358862,0.07186942,0.0502958,0.07554545,0.04849654,0.2199129,0.1797976,0.03394192,0.05430196,0.1432406,0.02213521,0.04393935,0.07676906,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04249458,9.752352e-08,0.1737311,0.0436907,0.07229175,0.05022625,0.07556687,0.04833665,0.2167379,0.1835798,0.03408631,0.05665826,0.148385,0.02145613,0.04384938,0.07678561,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04247469,1.014306e-07,0.1737784,0.04377786,0.07283354,0.0501768,0.07560205,0.04819172,0.2158726,0.1873021,0.03416502,0.05809242,0.1534213,0.02076616,0.0435872,0.0767979,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04304012,1.077651e-07,0.1735908,0.0437378,0.07316424,0.05013845,0.07562982,0.04804545,0.2126484,0.190753,0.03421963,0.05969813,0.1586679,0.02003615,0.04350301,0.07680597,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04322669,1.153305e-07,0.1719398,0.04378638,0.07347681,0.05008958,0.07565287,0.04789702,0.2113261,0.1927735,0.03411753,0.06192103,0.1627618,0.01937389,0.04349542,0.07679573,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0432477,0.0002531903,0.1696298,0.04423762,0.07383537,0.05005556,0.0756944,0.04777119,0.2109591,0.1955466,0.03406973,0.06405699,0.1666947,0.01878421,0.04349483,0.07679384,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04312468,0.0003081434,0.1672674,0.04474293,0.07406037,0.05002955,0.07570475,0.04770901,0.2107846,0.198572,0.03410435,0.0669826,0.1709323,0.01826511,0.0438344,0.07679778,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0430101,0.0002889414,0.164359,0.04498084,0.07448578,0.05000005,0.07571051,0.04756903,0.2124509,0.1990893,0.03394075,0.06803619,0.173047,0.01786902,0.04402843,0.07677232,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04287308,0.0002709359,0.1629874,0.04541041,0.07522734,0.04998934,0.07571349,0.04746317,0.2147821,0.1999492,0.03377243,0.06897239,0.17602,0.01752753,0.04457894,0.07677205,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04296919,0.0002540541,0.1645325,0.04579552,0.07615896,0.04996621,0.07571378,0.04737432,0.2183938,0.1998613,0.03360089,0.0707908,0.1776049,0.01724847,0.04488346,0.07675813,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04280634,0.0002382228,0.1625204,0.04594704,0.07693843,0.04993763,0.07571029,0.04736941,0.2192752,0.2036539,0.0335297,0.0720719,0.1786577,0.01683957,0.04513486,0.07673965,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04266022,0.0002233803,0.1607453,0.04605211,0.07726569,0.04990597,0.07570414,0.04734215,0.2195112,0.2083822,0.03341375,0.07314935,0.1796199,0.01643573,0.0450308,0.07674266,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04263556,0.0002094629,0.1585652,0.04597237,0.07751629,0.04988895,0.07569438,0.04729662,0.2220562,0.2111722,0.03344794,0.07415646,0.1812316,0.01612293,0.04540713,0.07675742,0.0
