frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5467626592191781,0.12471658554938687,0.843203672175924,0.33055012680141677,0.02304100038754388,0.22079599160113572,0.0012306649691631445,0.2327388216558114,0.16051573401106403,0.6157212713766488,0.25447232135538406,0.08884517839875213,0.9151808247813408,0.2040095818652299,0.17046281298643684,0.07990268623621567,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4872767745296603,0.13778323182777735,0.7942244871303591,0.2896689227830921,0.025371957096513943,0.2046696274753076,0.0011731377313302593,0.23614228822634267,0.21582529618670862,0.6291298911366462,0.23397689793964258,0.07592169415140611,0.8820793993879377,0.22020940782849768,0.1447065520929793,0.07966249128394867,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4680002623212011,0.12199640937599614,0.7985719792141934,0.2757129609020269,0.027503853749986665,0.20797732899006863,0.0014659696659443135,0.2231330290734079,0.2268196610440414,0.6512696112353709,0.23366962933193064,0.07184403349006781,0.8621841884599557,0.2185814322598837,0.12360097387706608,0.07004864917836698,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5048837806483768,0.11214976839172114,0.8324733897749479,0.24621299084827636,0.024499082198460788,0.20945988350297032,0.0013659622821786302,0.23514558058375765,0.16972658966098852,0.6208473597319248,0.26452553727971445,0.08312774307108797,0.8948853858398819,0.20382410423214875,0.1514519817607696,0.07475563642617405,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.545725196493138,0.13574425806181864,0.8301536205939023,0.3448340781993849,0.02443549805907197,0.21162608126844634,0.0012239564374033564,0.2424967463205348,0.1761351200386425,0.6163251202149841,0.22324902997711282,0.07256826754118367,0.9168099960246938,0.19700780823489772,0.18881511049756194,0.08608491268032448,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.548127296138603,0.1486652718212655,0.8256618726249398,0.4121052658265877,0.021004234314207875,0.19549669736748893,0.0010540246204702427,0.23402659080465338,0.17424063520615116,0.6243462684850322,0.20842109787116256,0.07164952612645469,0.930649909941,0.18832337606075883,0.2019573597955136,0.0900811645948209,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5596080697652691,0.14922831981966747,0.8349853455575358,0.386521338874188,0.019248135008886034,0.18205726851625842,0.00090657576417252,0.2294259652126437,0.17953179103765324,0.6305955682677494,0.1984772769351962,0.0641120448188276,0.9177941191567769,0.19443740907724083,0.18790290005819663,0.08978749045805089,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.513323090320347,0.133502024363753,0.8343430421239255,0.33033011481805685,0.021319940856857796,0.17995378608498575,0.001189367318331147,0.2032868064551794,0.2181026815397794,0.685615869338869,0.18756139233145672,0.0653307784443267,0.878053711272468,0.20172414060833416,0.12898741991806795,0.0764475089466964,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5337289559736558,0.1238444312975525,0.8462927979699428,0.31091513170414564,0.01837681831920185,0.18555113571113194,0.001079615253852068,0.20082400270638384,0.17923938861467215,0.6603367680243083,0.20330756851267723,0.07454278225439062,0.8910859697620772,0.20589260064989184,0.1399088232904292,0.0773094330660997,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5846364035181424,0.1544544918086362,0.8417573583115404,0.3328400223604424,0.018726744032235947,0.1837997256587235,0.0009780828305376319,0.20743252201820286,0.19199886076430533,0.6494518861056507,0.21175866806360102,0.07110435167884525,0.897005937617264,0.20339941621019567,0.1535788473004802,0.08326571588439922,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5644963218037129,0.11948449833044912,0.8501927689679414,0.366860190015668,0.023318489559766162,0.2141336521349012,0.0012896087995102649,0.21558031889075208,0.16422046885808006,0.6509869957891548,0.19808216941321072,0.07537417488813608,0.9158105586211016,0.20940543751501214,0.16705827205634663,0.07576055031583975,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5514461991056192,0.12340054466318681,0.8420744809638555,0.3701464142027937,0.021766546639119623,0.1925672815232529,0.0012771249636601024,0.21555070588939795,0.18148353748116272,0.6934116002968561,0.21289485812999362,0.08188140585147113,0.9101269363587586,0.22266672330849568,0.14913792672744403,0.07664025099434307,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5913616040422277,0.18530600218580148,0.7941102042902419,0.3955326319118506,0.02777621776846255,0.21860452340863906,0.001348695634557952,0.2184469290234606,0.23156980906074812,0.6750235798224488,0.21055486646439817,0.08925586540326234,0.8899725172816102,0.2583416806843969,0.13868571479638356,0.08568664755986892,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.59005236032062,0.1922981414950552,0.7742108282991662,0.39629648629676173,0.033905796063337774,0.2445995073895182,0.0012823121785307966,0.23268155137267213,0.22196426738273572,0.6242654059654087,0.2190273899374187,0.08459072188835212,0.9015697837802626,0.25631902280393465,0.1655857785465212,0.0889220020518372,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5415584375699001,0.18370618723129117,0.7618231075500774,0.37495864707964516,0.026681064993421516,0.19612417265725626,0.001066001182845968,0.24076591296879696,0.24592755352798543,0.644958257225453,0.21631466930208787,0.07961549293717368,0.9006472942587981,0.2486611331034331,0.1652497295453535,0.09624661444480732,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5252749928826395,0.1681045244573425,0.7481303035337263,0.23851047749724194,0.028612103513552332,0.1952903572798951,0.0013920923389900007,0.22878087998838484,0.2531381920409851,0.7038444589883255,0.22829127278856795,0.09994404313860265,0.8628043715433222,0.29890709553619055,0.14062325952209234,0.10296761588051483,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5428599668658441,0.16250895009160285,0.777424008294189,0.24527421013490733,0.027023458671750336,0.21113782815263052,0.0011900124804448636,0.22364787694555907,0.22844757939091256,0.6710398407020619,0.2496609576699529,0.09494873991388757,0.8925267154273966,0.2869837625178515,0.17829105350610633,0.10587987382651184,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5413642895091998,0.16262512946843172,0.7699739832292769,0.27265462109534144,0.023324804335600927,0.20033705575628086,0.0011738873829548766,0.19735618487621345,0.2189547628691703,0.7375589407811664,0.19349695489886803,0.08766975591543942,0.8848984687196172,0.32484607069805016,0.14985137385087896,0.09693836314491554,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.49961259727130963,0.14377087157375637,0.7584295769328218,0.20114883196363628,0.026941735939194685,0.1997275058053361,0.001211073666142813,0.21402177518227056,0.24251281855223888,0.6761164089165188,0.23302985825143444,0.08375061976542905,0.8644602266343727,0.2579217153253893,0.14552696225584155,0.09349672458596645,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5238316442754523,0.11062078235859155,0.8184295147202189,0.18980949006147882,0.03511121795300897,0.2563534790695902,0.0015163964610517547,0.20718111785666576,0.2422333406342508,0.6926274318824409,0.24649494218051232,0.09172215580915705,0.8585495201950631,0.2809117698060872,0.12962517902517806,0.07512149435117463,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5235350219629796,0.10655253232324614,0.8243558031979353,0.1996459576016029,0.03758978466969246,0.2635925187045967,0.0015493793935967592,0.2080054991382695,0.2346970770326808,0.6956467058336084,0.2581430095862831,0.09500278162181705,0.859253728349438,0.2730954552077533,0.13314772881148115,0.07672360493851606,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5762293330957108,0.1309034244981489,0.8341589964781057,0.2384308952249719,0.035547009185247995,0.2677873993035967,0.0014234807264762157,0.21394262110317333,0.24225595130523944,0.7026873637024682,0.24609219923729866,0.09675226066440958,0.8810026008479936,0.29929289765481853,0.14792190599220845,0.08596987956164341,0.0
22,0.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5620010929333018,0.12240769948652187,0.8352471045971377,0.2237790155388387,0.04022935505793817,0.2745473181815928,0.0017817977807649747,0.22044314289127112,0.24728041352489755,0.7055726414679262,0.2681442901475801,0.10306937782038891,0.8607519954788272,0.3041885325550332,0.13615286149772843,0.08157613161261738,0.0
23,0.92,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5475574503481198,0.11305642377154913,0.8383380375193601,0.20843029103017438,0.03940954004327944,0.27848058365448614,0.0016499404618779724,0.2139045405574032,0.266469030824955,0.7245779118714334,0.2567587704678036,0.10188155437880843,0.8728546150931683,0.313232425602019,0.15046720063406424,0.08859748872357534,0.0
24,0.96,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5189262938226524,0.11422720854695537,0.8092361555984352,0.20689439943775853,0.04378025569190542,0.2769121526006159,0.0016974071365593066,0.21965395908725294,0.2898643798319288,0.7200942266474212,0.26879709059987233,0.10916903392779487,0.8710884245438995,0.34078834143268,0.15023628034015424,0.09321031550543048,0.0
25,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5171893651684799,0.11306402071402406,0.8148909181648657,0.21825712297739158,0.05007821814463499,0.296266424574656,0.0020305846456161545,0.2145838752996212,0.33215079491516736,0.7618818235631861,0.25151872817369,0.10962847669311095,0.8612438408869189,0.38421716111918536,0.15182923636025072,0.09283070923375428,0.0
26,1.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5142541865212445,0.11055770016014563,0.8258577811111708,0.1944413860260971,0.053992274963203794,0.29375683570000977,0.002074801121047255,0.19982670016480775,0.3746278128212564,0.7688489839948903,0.24268721413517516,0.1033753123697081,0.8431876129153899,0.35748490955591766,0.14436849633791926,0.08541157297914408,0.0
27,1.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5268113931558343,0.09856968446696947,0.8400021362279051,0.21815525348055312,0.07900723498778497,0.3638446683221006,0.002484843116166787,0.221164610830598,0.37262131642641516,0.76404724132207,0.2551421309153069,0.11643463036853752,0.8838746933407362,0.4083244212106609,0.20143060374585847,0.10240290320564094,0.0
28,1.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.5824069487123484,0.14055419383531445,0.8400138856604011,0.2833983762872897,0.11653038003306411,0.36133215502298827,0.004834124415156843,0.2895750210152752,0.4739584990159649,0.8041112277709479,0.26724567406515265,0.11959407781440677,0.8650935873973589,0.4609041591562735,0.23238658254150435,0.1213165499307516,0.0
29,1.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6150883094506939,0.13677615915108637,0.8642880699983723,0.2812881310312064,0.1850253341268118,0.42688348117172625,0.006345706736652987,0.3183225543835396,0.54893512560829,0.803534285943904,0.24748597367835323,0.10866333797220808,0.876699646779219,0.4632869453149899,0.32361921482671796,0.13685377995527956,0.0
30,1.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6575116574030815,0.14984450260123777,0.8788875970336733,0.3149698961158598,0.28418465334013804,0.45829610766448714,0.007389818064214062,0.3426517621334524,0.6556104392513854,0.7991359713876365,0.25658713960214447,0.11557645877427904,0.8634638432061004,0.4722314997516407,0.35825678874432737,0.1352174198489827,0.0
31,1.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6921838460051767,0.20949124693263851,0.8317718744585231,0.35923941494356776,0.5296876105046393,0.5233534697433628,0.01748849248767997,0.3874520256780991,0.8049682246381573,0.7232042957822578,0.21256587064300264,0.1250940204611617,0.8640612987042269,0.49460362469878266,0.5232434116152378,0.20439832165390812,0.0
32,1.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6923614633335107,0.2531239212411411,0.7829716305098571,0.3194902363542108,0.6371292616367262,0.5351694120633501,0.02529905147960717,0.45687667055971803,0.8448503802938431,0.6756236544585001,0.24212470347779522,0.1368932609997872,0.8270819398387944,0.4684771001784016,0.5383128404860473,0.23277769360294323,0.0
33,1.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6674124709368767,0.2222751276009639,0.7737551195899989,0.3462723333453266,0.706747202246044,0.5669656573129381,0.027571751992430216,0.4697954096909248,0.8951400340705878,0.6634415800657303,0.23104710156776734,0.15300304795369096,0.8343757614873261,0.4522334532383728,0.517816328763756,0.22170294832827953,0.0
34,1.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7002896900886428,0.18834064231719422,0.8353196146658082,0.26372686352936076,0.6748268452809539,0.5865237613654511,0.03537147160753665,0.4751073926531631,0.8751985768290169,0.6835964975143739,0.27242828412043335,0.16830751187815818,0.8122479261846947,0.4956569380135087,0.4725490222292911,0.19968705757979072,0.0
35,1.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6771206253414231,0.15755580375680303,0.8407130527827239,0.2375026071937502,0.6801346273797572,0.5941276506298804,0.03514132282590205,0.46504554253054775,0.8796125701489659,0.6980032102904078,0.30541858100454744,0.20033142716849298,0.7987927417443684,0.5042007216777808,0.42498286012699604,0.1914133875874452,0.0
36,1.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6788452948524382,0.16245934481304236,0.8372243432970721,0.1964732757434531,0.6945163288851081,0.5808969085432539,0.04165180694597802,0.4683322892054625,0.8798005641417042,0.6667553892060261,0.3289150196176572,0.22493607373714666,0.7634499836959763,0.49295000363180164,0.37790114517356543,0.16392657626662657,0.0
37,1.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6413163182939049,0.130563866316471,0.8362505372744595,0.1773291320531787,0.6948417017076215,0.5977917620765073,0.035991502646146506,0.4381336913277395,0.8841542355409989,0.6888687792561,0.32472879441230773,0.23119553288899142,0.7620651536397142,0.48858686169372767,0.3531068239404126,0.16268604853854152,0.0
38,1.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6649090544548567,0.13053609038952285,0.8243448732618973,0.16618248460906723,0.7314805107732663,0.6083834647522589,0.03585591231287317,0.4655964028829209,0.890731997196302,0.6360022331551478,0.23761770206223456,0.19797682758256113,0.7656010702239476,0.400513569981748,0.3874920257194538,0.133456799068774,0.0
39,1.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6629572643540806,0.1403758820036802,0.8316757734242272,0.1684723727859535,0.7120431272108385,0.596154389221392,0.036352554850172435,0.45422300634777907,0.8935568163003234,0.672150069411252,0.3009810147732892,0.2168353753581501,0.7162013897293087,0.46315162055037434,0.3614639690838107,0.16614230464833876,0.0
