frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4311643126684795,0.20222567348702164,0.6312534129480808,0.1821647532860828,0.021117566060117145,0.1566436956347445,0.000528528578159807,0.09881266197512306,0.10639255874975456,0.4845969393949649,0.20280700789902945,0.07910651910685947,0.7223988163565396,0.2028023260118906,0.05410627381364042,0.06523810068116892,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.40799659841037206,0.20624982204392578,0.6005574872911055,0.17450038043806798,0.026841103392656745,0.1610992365309545,0.0005910602108941054,0.10488563042516197,0.11341652868236737,0.44456673444569034,0.21515870484132604,0.07391879498646803,0.7418969781092889,0.2158239489683944,0.0466941012450833,0.056547692978434407,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4132570990788746,0.21283145900000952,0.6039293485275367,0.21565162498866972,0.022117940796032087,0.1495171169186072,0.0004678837977688253,0.10474109522280331,0.11605438418826722,0.4455248545080227,0.20335485587974245,0.07080348171769854,0.7484628106285626,0.20372078137147803,0.05077022639462385,0.05678160164427029,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4207426109191519,0.23598178269607226,0.5460456135613093,0.24328141030166364,0.018014369050278138,0.1237850243911331,0.0003320684400452568,0.07942279549867698,0.1277497389054331,0.5022470502773696,0.18109983780557584,0.06591204615055483,0.7195311355652138,0.2156187784216305,0.03730931511763109,0.05212190048608607,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4282482197959706,0.23853221437997335,0.5830979606589295,0.261512646124025,0.018762529643676033,0.13590988008790628,0.00040564549154312727,0.08654431392683687,0.13256994182664852,0.5203474735979544,0.18316133636710885,0.06959571285701296,0.7223684162928902,0.2152466240548778,0.04278695462303983,0.05845779090614864,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.45405780984875566,0.25474706303849765,0.5698904777690488,0.2611220019516467,0.015958859444141566,0.10632833906636487,0.00031486815386411404,0.06968650278289382,0.14562576941825284,0.5453620442686407,0.16917492168004195,0.05974326895937593,0.6805905032131305,0.2187187390675655,0.030087893495040163,0.04283571546135497,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.456462848034601,0.236840949061052,0.612171244482585,0.30633673165379305,0.016696731882955854,0.12783188564923276,0.00032396563785479216,0.0745137018094921,0.1393529220887902,0.5608768087582453,0.1671009022082526,0.061882953152136634,0.7071980333362814,0.21601001568124054,0.03715899210851459,0.053854580846375275,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.42219522406255183,0.23184990170060998,0.5803388245968554,0.3094999297110423,0.01704413131575945,0.11342660336687303,0.0003110740042967442,0.07628122142586015,0.14619603595469122,0.5376267960485033,0.16761584238766272,0.06022841780248585,0.7081355086442263,0.20614520609398682,0.03813050894312727,0.053270911433662735,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4526007770990073,0.2688174975275088,0.5775447374810433,0.35067526330067605,0.016719550368509754,0.10712829937083301,0.00025254178208062363,0.07421671851743811,0.16197541995594383,0.5515007613197552,0.15058249816966834,0.055739450569950486,0.6973498927478325,0.20247368606336894,0.03352728709449041,0.047429674029012214,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.46697030225441455,0.2667253810472944,0.6070716691320394,0.37308093539651943,0.01610686354236456,0.1047983911838926,0.00027061141052548603,0.07270164984900189,0.15815103752779563,0.5576575033860867,0.15689364750157928,0.05949100254665588,0.7073495127644268,0.20023426477134912,0.033960145090958224,0.047927678761224494,0.0
