frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05672906856536975,0.09272431651371818,0.10712291712763589,0.07535730398555147,0.02769513634847357,0.19720502342389945,0.0012088087212064154,0.007823258002509733,0.0005571888012225861,0.01925325521159762,0.02290953116636085,0.04925187132495366,0.01771390584188611,0.07190075881527193,0.0007363880068586741,0.0035498173899454672,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05695501260009321,0.0938959358713468,0.10860973921077842,0.07594062646399057,0.028425586984290187,0.19773561375659357,0.0012958707670358521,0.00827568864623274,0.0005686413540222176,0.019059628298033142,0.023279019435922598,0.05080963494118033,0.016943876314376397,0.07571441599350023,0.0007441262893049516,0.0035632297409098016,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.057000084400765386,0.09412645390692766,0.1087611726824816,0.07649641868651345,0.0289279843032372,0.1996830876677395,0.0013221063478966004,0.008385877315332541,0.0005736316265033979,0.019056287682551392,0.023113923692577358,0.05056536730828991,0.017007972724324763,0.07565705790226111,0.0007514679012386625,0.003563221944244843,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05739103859031089,0.09499722400121521,0.10898476545762817,0.07761459063935779,0.028217503449443203,0.1958502512904514,0.001272412089929458,0.008378736004899589,0.0005780154923901167,0.019327471481213183,0.023546428010364783,0.05067894904753069,0.017101908770957932,0.07587697101760149,0.0007355224169963688,0.0035153540847170607,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0562417691541381,0.09223189482314312,0.10907515837942922,0.07586261391918948,0.027945439987258545,0.19966012475314762,0.0013165353150166456,0.008231977729857934,0.0005637922112070681,0.018780796615124076,0.022017339361930253,0.04947933105846115,0.017764249732202194,0.07300551219651603,0.0008289428684308479,0.0038151931242562075,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05259079425160297,0.08840725836996043,0.10260278489645636,0.07574365766396518,0.02694398117726628,0.19719902658318567,0.0012789159776596917,0.007444310878563086,0.0004887905229520872,0.0174716344258685,0.019417291136811638,0.04628083516038181,0.016014021332987446,0.06720974587903047,0.0008568500873563716,0.003987403335834861,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04918921084707149,0.08024427180117695,0.10407091297525184,0.07166667219735676,0.023616405358929036,0.17323908232474927,0.0011251242262155109,0.005736488661515268,0.0004455906491322873,0.018460547429251614,0.020876349120850048,0.051444041381829966,0.016815101498491723,0.06687643032852497,0.0007752253737751413,0.0038171298583040045,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05267710471322114,0.07896306543708599,0.09222848209987107,0.0859958954970573,0.031186000681975145,0.15663426778807535,0.0011850987664871022,0.009764727958629474,0.0016134932024198917,0.06021532197540771,0.045202482650526093,0.08780388205071912,0.06327396971959551,0.1057304838609889,0.00048377577466831646,0.0028592423347960404,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03850171426073004,0.039452717334716725,0.0727831324893878,0.09879068994602612,0.014666161603181046,0.07814967509209803,0.00042546399748699085,0.020015098394176128,0.04083483404189627,0.6623657106438309,0.03539732996758118,0.272537492409512,0.5803496878028723,0.22427610768757522,0.0009557165374680807,0.009603698032607485,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.029567752975913447,0.02829984321447575,0.08297166003840821,0.11176945460137974,0.010253589956306052,0.0684355827824184,0.0002580833871421112,0.021858091920317898,0.13191541111728977,0.8615706547526388,0.02354524787070274,0.38423282865803965,0.7948804663211702,0.3673795392754677,0.0009048326257447938,0.009138135202615376,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03162970639827314,0.02703460427153505,0.07693076494506072,0.09910888943681768,0.015325330911059948,0.08891635382865609,0.000449710507326592,0.032000754698175975,0.2352160847336357,0.922939297258394,0.018942394813522338,0.44073239218721294,0.7983831150294645,0.5388384286974711,0.0008842077930305824,0.011896346760217029,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.026859514528273308,0.023574623361371883,0.06607795811709549,0.08703628982502055,0.015384988686319014,0.08377265466623868,0.0002949728340453982,0.030600549149401385,0.33000914989867064,0.9394979193067138,0.012860076232327738,0.38486712689775326,0.8058073875706568,0.5958409110284026,0.0011904882584976501,0.015025667347986136,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.028255802712132433,0.02513003589175965,0.06827294864099269,0.08824888607460755,0.01743936774335845,0.08893176490174273,0.0003778855445777244,0.03391290884773654,0.34479870027398396,0.9395239077122047,0.013293512110152818,0.3972034051572295,0.7890451938698764,0.6079693932542719,0.0012316316300334947,0.015384252729280175,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.026222523763539906,0.024751755464826806,0.06607844935574216,0.09776125450673903,0.014181915829455367,0.0767940608974869,0.0002505545576095014,0.02385769176533907,0.3372024047953655,0.9334916240160396,0.013324612392062693,0.3596212287481652,0.7967359099609738,0.4951637095952016,0.0009165888312704254,0.008378425848272962,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.023559773283862783,0.022648823268502715,0.06342240837362477,0.09240885672441135,0.015174865193020413,0.0772253589782365,0.00027461723103636555,0.02636094958880542,0.3580270781687466,0.9353588816367486,0.012173115249025288,0.3577881297291688,0.8055687174529426,0.5070954179760981,0.0010716526975046929,0.009095811784866126,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.022829453514797992,0.02143475451103909,0.06213608586053174,0.09011777710402841,0.01484187837600949,0.07584221804136253,0.00029570822639166485,0.02641551209675347,0.34574649702833954,0.9348823496428648,0.013038080658827687,0.37504049531737804,0.8168721721505241,0.5007757503571234,0.0010736479762668792,0.00917604068418776,0.0
