frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07315515513703799,0.11099125684989404,0.13750344032372203,0.08110519899707772,0.22894442408623433,0.7355480714058754,0.0047527835754678,0.005888533144305564,0.0008660113043984182,0.014085578824807609,0.01403275631058124,0.02797553470659127,0.008409063049483112,0.04637068304368729,0.0004885205154819488,0.0021588483837009934,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07570834609198762,0.11560854687687852,0.1373005305686686,0.0826227737372586,0.23865493362508483,0.738764596334831,0.004796022329964655,0.005966008638668567,0.0008566978242107095,0.013645765330696941,0.01427744187110408,0.026927182286300876,0.008520516054849372,0.044083677269120956,0.00046831557374590475,0.002028752096276325,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07495850417927577,0.11490552590565721,0.13713578890146422,0.08484044224070834,0.24047175325046674,0.7378196015011499,0.004852726199327879,0.005870948518597682,0.0008704750309606286,0.013711427948994565,0.013433644042101893,0.026366410062061717,0.008433179922216389,0.043915256048265676,0.0004604331101293989,0.0019981051301455766,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07535489413976706,0.11653201906424664,0.13663883735410529,0.08719046575885318,0.2408403695460792,0.7400199142270354,0.004706884210048802,0.00586774528200437,0.0008658583645583735,0.013403461476246818,0.013572064767624036,0.02599456353743856,0.008317646115101612,0.043695804946819294,0.0004653048042171486,0.0020161946060180858,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0800806728724382,0.12034414145839256,0.14709691309608236,0.07567948175815252,0.2138526204918723,0.7330943312298991,0.004044153105592482,0.006545544632613329,0.0010095769776261117,0.013382468444446752,0.017894660865484146,0.03042358894136672,0.009610770651758235,0.05863932091636682,0.0006086338697285247,0.0025231440440735557,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07919640867988073,0.12363698594392794,0.13255621166896947,0.08021153977994896,0.2495790542197028,0.732107824794423,0.0045282828932475296,0.006275233535146476,0.0008960299067122539,0.013087814942269023,0.013310383443178931,0.023852578339903667,0.008419249700109738,0.038975491856651376,0.000521980705666893,0.002272419203506542,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.067612385599687,0.09803117643576358,0.14020225945919432,0.06920591657659689,0.24986697806187524,0.7250407947280533,0.004778378243292032,0.005670498039843551,0.0009147336365233541,0.014284296551698102,0.012141745610503218,0.022471958885394556,0.009424416495532351,0.03873581264550668,0.000539542728099644,0.002343949383040535,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06573623745012903,0.09405191265486512,0.14506715348512894,0.07637081937354748,0.20995173150720955,0.7201687443100994,0.0032343007361081587,0.005257265855150219,0.0010526197934956248,0.015948077828752617,0.012768919920596934,0.024032842603405605,0.01150132588815065,0.04659668168564969,0.0005764199711871292,0.002536285856511827,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06854357982951866,0.0881648419542961,0.14707985023531675,0.06796680111138043,0.2847921813338212,0.7883914122616945,0.0037991588749824758,0.007603334981952,0.0013207827107188739,0.01663808590632469,0.015157658152761438,0.026102285995456175,0.011764379140446063,0.0666541624122523,0.0008458738277601342,0.003536999002193565,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05384079190881772,0.06302028933934774,0.1549069664643206,0.05908149734499851,0.2520994782042593,0.7726572560483402,0.003407594237134794,0.005019400407674932,0.001016785974648926,0.015543871390523744,0.01264008927550637,0.020393202533018445,0.012205825779978486,0.057728074730630595,0.0008276262080736413,0.0037243130346324457,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05025169779214213,0.05455311603554852,0.1372562538169298,0.03920727615196434,0.3151739320367745,0.7790107993042809,0.005649433062522034,0.006744134310080719,0.0008428915628621226,0.015430156163261925,0.018507283396112132,0.027049618911095454,0.007811250554446357,0.05423843518216594,0.0008309181379969405,0.004154897101887609,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.056150415207204395,0.0548819022010479,0.11432653344693973,0.05192765355791221,0.24165266992978982,0.6772298210151947,0.002910210752948179,0.005300937399581216,0.0008006963872932183,0.01723284153981623,0.02206127919976024,0.02526700145433743,0.009281997025706624,0.04677226443845667,0.0007588394303054589,0.004253629652731687,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.054308259912543726,0.04769699384463191,0.11767905861162004,0.04397472840229988,0.21013208765977773,0.6454921517013892,0.0024586232445207696,0.003786456029063417,0.00045521755786031063,0.014801208624432753,0.016833299306238163,0.019869274139995566,0.008663075848816383,0.034074515640929864,0.0007659860843382171,0.0042473074100544995,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05631021222511603,0.04859386285311407,0.11380149355871498,0.04377808392448253,0.160380941576482,0.5724203889406214,0.0019927143062492157,0.0036545685916034155,0.0003866248062505942,0.015673043826505913,0.0184181597852504,0.02334399022871964,0.00872205144440289,0.03375658958497081,0.0006985155737883129,0.004558980417756302,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.054262165526833606,0.04779552414642065,0.11214689861356122,0.04331264655206112,0.16595398285259838,0.5764968671436362,0.0020849123411432824,0.004038372785287974,0.00041976009654715144,0.016083898852074053,0.01909912283566368,0.02353710206406979,0.00885661630299433,0.03740519313324982,0.0007816536108734892,0.004837035673743878,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.058661189115949516,0.04997047253924243,0.11729001616614358,0.044856522028971356,0.13726678552398228,0.5079395368867797,0.0013792391966547042,0.003817539035146503,0.0003144971946552733,0.015112091274736183,0.021434535727059098,0.02199623706593574,0.011331922825369418,0.034378941829868406,0.0008089590162824917,0.0045332398924559664,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03914650127214504,0.03492763088500815,0.13804903164975496,0.04539801224346031,0.18452945199761775,0.605231999985212,0.002331116120105894,0.0038988557120399965,0.0008025044703507862,0.021566726448435047,0.013948335851201263,0.020256062470474828,0.01282529455382134,0.055876393632742695,0.0011170903881632232,0.005176625020480682,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03820142610501311,0.03473842447459847,0.13992063211788616,0.049208483926148586,0.18709425321345746,0.607653160813048,0.0025143154918084954,0.004559830055316432,0.0009450327945762938,0.022575552634738923,0.015419467766723129,0.022568134174941832,0.014016586903726105,0.06712736423887532,0.0011513015381319882,0.0051629652408614266,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.03898959008888972,0.03468109182742131,0.1332035930718465,0.05049739979372402,0.17573522968909205,0.592162915408988,0.002254867552590357,0.004244965377756468,0.0009136094927873189,0.023009768752537404,0.015514827783430751,0.0224917206779943,0.014479621749269683,0.0675264004617654,0.0010495411648660353,0.0048942434529048034,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.039309262884977325,0.03538232802789464,0.1316678862395631,0.052021584614199916,0.174217966937899,0.5822728668215916,0.0022630065546823826,0.0045214183786366005,0.0009390533379366299,0.023106865356107557,0.016204050376859968,0.022495589363551748,0.015006293805191213,0.06699360384764502,0.0010523450545302808,0.0047255976816895145,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.038146630019069275,0.03538094152453862,0.13328573020356338,0.06382928032833492,0.20461637239508557,0.6497092603752314,0.0020238707757400413,0.004193432352605932,0.0011762991600253027,0.023748077530002656,0.013976591711218109,0.02136382198681989,0.01683106894398449,0.08062419181929815,0.0010618056760770807,0.004919639303663899,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.053290849398066865,0.04685239069984508,0.11748449739906021,0.048976489868674415,0.1185243349475033,0.4662055031908461,0.0008055268651743398,0.0039804564809267735,0.00028141845594468573,0.014624597504914766,0.02711981621431223,0.022162534888287382,0.016325578270380853,0.04034278263307756,0.0011859490400039346,0.005594807042495794,0.0
