frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9048294680034681,0.9343471929686591,0.2526946191609731,0.8793209575735027,0.08894272980192483,0.2672534816198355,0.00046641627658931497,0.035217980898773774,0.04170196307973624,0.10682741716537954,0.03552229623766812,0.03872426489128953,0.3351105927231475,0.005727856291665238,0.021192594833479184,0.022995352443090377,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8874562046417789,0.9121424375854857,0.24946647268437624,0.8427032293340225,0.10629048594244526,0.25168900836732744,0.0003944103637846101,0.029809350067563366,0.039735645117848266,0.09622869701294672,0.03392245177131949,0.033337725380070626,0.3529418945839602,0.0055989562402549275,0.01695773538137343,0.01732207677438658,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.898035934218445,0.9418599942409627,0.3166333833456272,0.9105717055028526,0.07409115354716807,0.24818942835361973,0.001050827202261907,0.05883742858539273,0.05047333364127069,0.14976264455211805,0.03658153115614648,0.05394097025935265,0.5005118019740934,0.008540672036877077,0.03796363215124033,0.031070979759362197,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9111683306761281,0.945692600026893,0.29724931613450367,0.9092386396434682,0.07696930980691738,0.25675040255582127,0.0006702824611140194,0.04297589249290023,0.046118864510559326,0.1368328840120599,0.038572337257358515,0.04740754232275613,0.425708147466413,0.006904434925848664,0.026577437977117226,0.025606419053670202,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9165746548844608,0.9550246310430848,0.2886483526291949,0.9369715898348983,0.0792775554024369,0.24068926483882017,0.00039980613713737134,0.04029556180214518,0.04048730119747829,0.12824266672463727,0.035840856034784464,0.04253152439077759,0.4406841017094206,0.005718940275365456,0.02067797932477529,0.020675150226045515,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9019374007111887,0.9183211894164295,0.24392623795467921,0.8798017252444023,0.10840722275323891,0.28977925321246456,0.00037719189740962185,0.02957954572567703,0.039657512322981536,0.10895355651726402,0.029903365567224446,0.03503464463324553,0.3959720462853904,0.006525121131451285,0.01556511403069297,0.01592922509077048,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8722006571944044,0.8781656469988312,0.22304090144565267,0.8444205145583582,0.11632575743685053,0.2590491279902965,0.0002997596928413146,0.030114386913907745,0.03814721416589817,0.10010952556874168,0.02715855276364358,0.03201529764919576,0.4253010908823371,0.00631186311707079,0.011824073056854822,0.011817452004062043,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9036863806662133,0.9360595542111949,0.24698676730804436,0.9320403276937218,0.11468482363621925,0.27071652961444514,0.0005622402478241153,0.05375805836807251,0.06242452381537935,0.16741679250033098,0.032910189110220645,0.05180202782719801,0.6188883907377537,0.01023417829420156,0.029159793808999687,0.02427834293496018,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8845978909321492,0.9133104271914884,0.23339249995277198,0.9072191276164941,0.120653354220804,0.30742878771643384,0.0009384303502922655,0.0651528174350079,0.07003481074034894,0.16771522745350875,0.034908862609957035,0.05778356844622455,0.5774017628818086,0.01618377242473594,0.0441742551232202,0.03794848725589065,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8706492493216762,0.9090470606492157,0.24473184110532606,0.902216541691866,0.12177060978900577,0.2980076184170153,0.0009432545814546816,0.0763659209241228,0.08383212883057797,0.20082618338067418,0.043817432978964455,0.06808182708159584,0.6627092336790066,0.02088647885819399,0.05745400167659313,0.044490069364175475,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8536795986057983,0.8966412619965665,0.27725774627070937,0.904087416645328,0.17149461827370716,0.32407592307726424,0.0020519747928635468,0.1057511705133239,0.08344062637592119,0.15147487719237893,0.04658547639108361,0.08830785061313863,0.636956575155911,0.0278102614272666,0.09719954940871837,0.07390460969250086,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8180364184459963,0.8511814923180985,0.2575945073575462,0.8664476871640651,0.14208284793773504,0.281286910204222,0.0010300370559805378,0.0625934539549329,0.06694633438058985,0.1472127806818404,0.049482984589551054,0.06192782554921706,0.697836081652326,0.021500927303621648,0.049640872432647844,0.04248459068835131,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8057408023354818,0.8560236990934402,0.26445566611471305,0.8722104783277612,0.13909770418449802,0.27775144239990973,0.001226288054884783,0.08154265779438737,0.07073725275229595,0.15729784402120142,0.051613516490979686,0.060261363336747184,0.7024014301805406,0.02306845016934407,0.05816939828768928,0.05196183968353454,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7673061474947509,0.8091370872517933,0.25855225135992904,0.8823196161114644,0.2338068414699556,0.34326142909900625,0.004441619522940526,0.1808507598116442,0.09355682217342515,0.16943028708141195,0.07315714657593264,0.1081739061464848,0.6172065704129496,0.06066135876324945,0.10350026177343546,0.07523080634864564,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7253803196458224,0.8052783525505272,0.309867341612714,0.8820695917248792,0.1956749043284155,0.3721305973995981,0.004690581328283924,0.2087804872324344,0.10903316682041,0.20883608350998967,0.05989574608283636,0.0864290284044135,0.7845599686228883,0.050183854853816455,0.11589424307253185,0.07821602573055281,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7305455251532653,0.822656231574937,0.3247646988169957,0.9053701472395409,0.16715334234233079,0.3626529136594078,0.004974519234464104,0.22596956713158114,0.10426924986401417,0.21567867099832716,0.06152156333479439,0.08897109295986126,0.7456143479244599,0.050551927609101995,0.1225378694122694,0.08637624651933054,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7641755310683709,0.8266497083622746,0.3187454330998668,0.9006701221206894,0.3891652268265319,0.4585748677577137,0.006737407966777795,0.3178052560454254,0.13934477445445947,0.2120714917452039,0.10098692518770432,0.13003229313327408,0.6019007342285712,0.10176302912932143,0.18384222537003353,0.14671305974609014,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7507689508977149,0.8107784506113099,0.3475413305315654,0.8958725759338041,0.4052396017040498,0.5026804855042261,0.007769867699711232,0.34576045214485235,0.15468262180051232,0.21947019320959027,0.11231486120823232,0.14407006935151162,0.5985363987867998,0.12796192865895384,0.21496177517342724,0.17247970773615176,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.734310846271355,0.8191770323081559,0.3415928427557097,0.9123040485815681,0.1612600207606445,0.3911220827591699,0.003994250880423679,0.2296388978912774,0.08607972995636594,0.19714230240722946,0.06545535643397332,0.07769635798935866,0.7843949394591755,0.04254878645467726,0.13211839513150433,0.08198110874569244,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7744194623874394,0.8757571197547103,0.3398694925400485,0.9252298762090059,0.15773344394985514,0.37498824768561806,0.00559590667917375,0.21540477268913252,0.10936571354843656,0.16438833893405208,0.09286866050778973,0.14578780852190198,0.6729559829307168,0.07642365574891176,0.17052601190562913,0.1469751501112548,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8080509777230929,0.8927090184455254,0.36349866216060317,0.9208081350525719,0.14264442695972654,0.3749421303318147,0.004225185017907005,0.20704325360886985,0.10460953902785435,0.17231310818562182,0.09889878341053843,0.13946166125295276,0.6734852378739951,0.07021195101693974,0.16813575386134125,0.13831418238965038,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.682058389267937,0.761816881774392,0.40292298221903944,0.8604652077682977,0.1538873534878826,0.3478225163083455,0.004864771821828688,0.22312077712832518,0.10113609738608147,0.21702452145093762,0.06952104671259561,0.07953993829954231,0.8099967678840267,0.04628983793725846,0.15802304301442935,0.09464492817031986,0.0
22,0.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6368052084246103,0.7073734622538199,0.39567346739895654,0.8467551019622802,0.1704578448188137,0.31890996415674944,0.005606495556205336,0.2603130536924082,0.09288224681797758,0.20844962933966543,0.06858668606702235,0.08011810998304322,0.8238749571291851,0.042735798775838676,0.14226541430589018,0.07384948933008667,0.0
