frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9104184989740849,0.9421994373342404,0.2569264937172279,0.8994061753300402,0.07364537655199357,0.25761017690753485,0.00041889030287868616,0.03492246840881519,0.038075800500178926,0.1047303882850471,0.03680101523027892,0.040224024450049745,0.3158378598794912,0.005746435485385748,0.02304829866728608,0.028329144859750438,0.0
1,0.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9105518773653887,0.9408486535464575,0.24979648735167193,0.8975227827981859,0.0735642772687331,0.2524904713021608,0.00039858202126215797,0.033995498995403994,0.03880819924452988,0.10939948646397205,0.03633976819265655,0.040650177549904465,0.32119296076839987,0.0057516978649464244,0.022353287999942982,0.027966944730818184,0.0
2,0.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8986288511494904,0.9213356229156471,0.23065610003208634,0.8316105926717416,0.08893018587867671,0.2592981087949004,0.0004405591059050889,0.030353782369421062,0.04243714876731084,0.09992710586069734,0.0355359065366555,0.039818941614818144,0.29787966717042585,0.006157432582219727,0.018884890315573798,0.02376354009621898,0.0
3,0.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9092149656273273,0.9396787320823006,0.24703852364411102,0.8991233070908606,0.07122853087212211,0.24962215026861084,0.00037393842349594825,0.03276604174416712,0.03778750534060575,0.11137494593393157,0.03557330190433068,0.041524227207967696,0.3196339891185302,0.005795456235841044,0.02131551980334382,0.027792322267951922,0.0
4,0.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9025766097581127,0.9249634611658685,0.2309642812025222,0.8592219735005663,0.08382388614563616,0.2659728508320741,0.00036867083635166466,0.029089458486021152,0.04138058747640688,0.10725724235955805,0.0352041989069456,0.04009880717910943,0.3359059640374206,0.006271096056324466,0.018613645110827224,0.02163919523784994,0.0
5,0.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9105307036028031,0.9388089405198624,0.25981279487490466,0.9202684540884561,0.07934662594607729,0.24622153665378294,0.00045257745375859305,0.03558822167222058,0.04080440873995839,0.13338586798797591,0.032211141612971,0.04264530435582189,0.45086303042156395,0.006685327419868913,0.019974436071295325,0.020802410575366456,0.0
6,0.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9142546693324457,0.9356145414194844,0.2559821158566802,0.9117681846861079,0.09011644918813819,0.2683012731432928,0.0003803490388174316,0.030409576350340296,0.038783991158016215,0.11741373686984176,0.029217826653208306,0.03413545093336361,0.41950331561130505,0.0062442292655172146,0.01525793080160255,0.014087515393224177,0.0
7,0.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9132127764833072,0.9376655735728676,0.2515361429114044,0.9235398544245385,0.086446260338878,0.24965965931154682,0.0003272726294337503,0.031177260759403736,0.03293369761693418,0.10712514876056993,0.026830085536807227,0.03080894025747298,0.4070932642427668,0.005744970904618263,0.012758128660528495,0.011710550608187823,0.0
8,0.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9031003049263544,0.9451826159578411,0.27721795276087097,0.9312052664509244,0.07953780811837963,0.2163178102413151,0.0006589225717024388,0.07319104591708872,0.0464251890589388,0.136917943546179,0.03184517207649692,0.04607215554646983,0.5039006216590198,0.008387991204689662,0.02762097073863309,0.02119252081335997,0.0
9,0.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.900636007540183,0.908188564719287,0.17833376439392695,0.8549933133063593,0.14737819534221705,0.2943256265144931,0.00025436795974922787,0.03256655699812936,0.03250361472913568,0.07001538040620024,0.030105545248807833,0.026500093344052605,0.40023619694621554,0.006630106102596622,0.00820848064602932,0.007283716171646605,0.0
10,0.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8826803114115388,0.8945989175968933,0.18413731798683172,0.8736328886838182,0.13216027668557231,0.2679718443501504,0.0005223932944979197,0.055721293363765675,0.04579137066392282,0.08490286479191979,0.04546040958309733,0.04735577885078318,0.4395734871622606,0.011696866588969273,0.015381088924590752,0.012649383190043873,0.0
11,0.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9092431019693561,0.9225034483959875,0.18607343429468273,0.8874518729388955,0.12156143702887863,0.28456800915932356,0.0003445413009029532,0.037402139318813844,0.03729743692350727,0.08665369905703162,0.03293785917528599,0.03391613750173175,0.4036831359545752,0.008433322231903283,0.011379626618790405,0.01042588648589211,0.0
12,0.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9081556815154449,0.9479067062508673,0.24603589185342312,0.9240082365737889,0.06919652821346686,0.221034804358578,0.0002633946118863465,0.04300621493313366,0.021039738344632457,0.06401466176280417,0.035809633912697876,0.02827018642703826,0.29932134994451043,0.005633373268312369,0.011795959671392414,0.01166586786226508,0.0
13,0.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9097251795706324,0.9469740949510438,0.22032033553890348,0.9233377573866453,0.07584329543348933,0.23248359489986878,0.00014278226481488998,0.023735365988999304,0.014238747199245382,0.045783359547100895,0.021489207410654947,0.0179025739433042,0.20877525013494025,0.003677966645292223,0.006909488344301497,0.0071222312120465,0.0
14,0.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9124336175798164,0.9423788129302504,0.20267060054654074,0.9050604825305817,0.06857041528974572,0.20096011956044474,0.00010095437422890651,0.017621467064091637,0.012667095232660698,0.044685485386103715,0.018610752167439164,0.017338161721097874,0.21642548298420344,0.003539157038521336,0.006045090994099306,0.006827170209723189,0.0
15,0.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9074290379305625,0.9400831065816841,0.19886593629952873,0.9071208059211446,0.06805328870031482,0.19901503608820428,8.843642322585919e-05,0.01881351135963418,0.01278576812149663,0.04263035739217126,0.017765514199199996,0.015319209980452195,0.21237941866986512,0.0028869790673280347,0.0055672126098941285,0.00547852258273327,0.0
16,0.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8783488569725366,0.8855209712717925,0.15552194088463783,0.8128666683489373,0.09866967741518633,0.23210332223927826,9.047427927358246e-05,0.012343817892130729,0.014666760581821476,0.03508250382269993,0.023009219574437998,0.019451459100770487,0.2770461550850406,0.005901994309487189,0.003973867156786397,0.004392487063077528,0.0
17,0.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8698704542505623,0.8819705332858246,0.1625758693140551,0.8505490151818837,0.09603930808532068,0.22213819128801987,0.00011260100147812162,0.021391081375625495,0.016621109484755262,0.04104718836027413,0.03275343888787308,0.02625161304800016,0.3398737880360462,0.006240942808127606,0.004545499537804896,0.004834895649583809,0.0
18,0.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8565776062847199,0.8634740364994906,0.17640049574718303,0.8604973867205391,0.09926111552016992,0.21436395919311713,8.509036364235423e-05,0.023980227745164576,0.016112750088397812,0.040050466962647226,0.025508691884945367,0.016575865559258565,0.38319090234304354,0.004399346649746379,0.003475823500575886,0.002762171869955774,0.0
19,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8564217753192835,0.8649776596357296,0.17471728566343664,0.8661549278911417,0.09942850461374447,0.21430500211041592,8.946079356441957e-05,0.024084705501695333,0.01637005758999582,0.04106267406709778,0.024378883235014234,0.016800572591704453,0.3775588650091698,0.004197905009165326,0.0033678577151842067,0.0026480631052647817,0.0
20,0.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8886869104775328,0.9256909666196321,0.19566982827548834,0.9007807446875732,0.15333364353491963,0.2508686394079287,0.0006643414969753688,0.07749201870013278,0.03181068730133591,0.07817635554315577,0.030234329918044766,0.02565511049201574,0.3267407941265776,0.00668935333155389,0.016456286032919147,0.011893859327025687,0.0
21,0.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9014012883278977,0.9395120067558826,0.16693194155826485,0.8764139368218973,0.061754561428326187,0.19935893937770072,0.00011945014467304723,0.014021018377489263,0.011564387280165924,0.03944246213222927,0.017665278635801748,0.018515576999263213,0.15351527355381986,0.0034120883428175428,0.00379911732051001,0.004788282978745889,0.0
22,0.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8893262625967675,0.9135889805195809,0.15854422310269864,0.8848988880833838,0.10481431950860402,0.246579531686635,0.00011848172081124945,0.026241314602245245,0.01677029801737269,0.04485360555419079,0.026772930775180375,0.020904432365796095,0.2874979388322237,0.003977225701022868,0.0041171939281907325,0.0037737727923985017,0.0
23,0.92,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8892860419172296,0.913704148541661,0.15825103296964355,0.8835094309730946,0.10261585216119257,0.24373717248566173,0.00011709583635878631,0.025880297530316124,0.016755400167071603,0.04531138431398934,0.026045317136162437,0.020591051075292886,0.2904300625161259,0.00392022790273058,0.004069430022113032,0.003673627947423091,0.0
24,0.96,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8960908543418393,0.9213290974414328,0.1602131107058708,0.901746121465797,0.10308848712577018,0.24721098671098557,0.00012033754043971594,0.029432906595984545,0.017715539359738,0.05015471247002311,0.027015751764596543,0.021417621129060052,0.31249041056857274,0.003909887505900136,0.004456478823360534,0.003819694197287228,0.0
25,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.892287868533766,0.9170231811750572,0.15554555512739734,0.891852730495091,0.10017551947812993,0.23801137766116495,0.00011165732763338362,0.027359507334058987,0.01749040275491998,0.04829721333731682,0.02662204235397283,0.021340826991090328,0.3122632094643751,0.003950639367903619,0.004218711147475824,0.0037520364401808256,0.0
26,1.04,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9040369209170039,0.9400895999282252,0.1617826597709398,0.8728676830149358,0.05934952715199519,0.19893405641087722,0.00011189938136735497,0.014319622042855303,0.011684184110395736,0.03951154167111728,0.01884572876235589,0.01939861573693379,0.15794459279154194,0.00337122777077156,0.003712013806455495,0.0047485604863044435,0.0
27,1.08,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8972790759610215,0.9203191129113886,0.16100929844764514,0.9051710068723839,0.1124781522449088,0.2499219291167141,0.00013621572363409142,0.03442153963274673,0.01952803232122304,0.053255644268263666,0.02351291432593442,0.018831106832276446,0.3487494810543547,0.0037270578205514646,0.005380636065950211,0.004259653892980019,0.0
28,1.12,1.0,1,0.0,0.0,0.0,0.0,0.0,0.894362069190004,0.9208900614754669,0.15926673126898766,0.8882867236029373,0.098283795930394,0.24430397002588147,0.0001146791601951369,0.02433089834919258,0.01594543738298722,0.04471142360662401,0.025046417000549215,0.019985631640807595,0.2736740589567305,0.0037612162181496584,0.003933764927846214,0.003573246876711497,0.0
29,1.16,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8941621507522044,0.9185135903121289,0.1600445732894979,0.8982737850550447,0.10754739909276997,0.24519115460257432,0.0001316634973759957,0.03238124753423247,0.018536539197735756,0.04907034109612078,0.025007884782207113,0.01966910520954382,0.338262801151675,0.0037162452253635316,0.004976258623034128,0.003990339058517338,0.0
30,1.2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9128079394588497,0.9349351339391457,0.16279095689355652,0.9226661274613813,0.10630498425469882,0.25611793153011764,0.0001333748419076223,0.034147788207385565,0.020510931652846207,0.0626215806023711,0.023895570766910623,0.020813142914531926,0.3342870491457646,0.0035362618930844226,0.006202241421902154,0.005007597446738871,0.0
31,1.24,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9073969483505393,0.9301298761017256,0.16134977481809026,0.9181886647897362,0.10816657122775124,0.25248570509815477,0.00014032316980771106,0.03497251433240371,0.020986766537396426,0.06409177343655634,0.025138873512052226,0.02207362993970693,0.3428718053323618,0.003794515888254233,0.006145501107030668,0.005038931708438468,0.0
32,1.28,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9057495210804578,0.9401558716567093,0.15991483958774408,0.8689207394468172,0.05849300257000966,0.1985166455880665,0.00011057530698747069,0.014295505178360904,0.011854715400536115,0.03985503795055922,0.01994164797403283,0.020602219438934512,0.15778118502385582,0.0034752721028040823,0.0037169038326704206,0.004853993598026079,0.0
33,1.32,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9098375136111642,0.9385426852244033,0.15361819033255844,0.8589931716901216,0.057503297150699406,0.19434097084295143,8.830884079707763e-05,0.012561107351004179,0.011602080164972701,0.037341340271605294,0.021029258977335135,0.021695973657503483,0.16463419241511493,0.003533228009275987,0.003488772120490982,0.004749450476441843,0.0
34,1.36,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9090325802450683,0.9397071050576143,0.15385769146594444,0.8543294861705699,0.0535981859230861,0.18898369317889271,9.021490905495567e-05,0.011635291228852918,0.010554430889852383,0.036291208754283634,0.01790771928601724,0.018869552535578586,0.15301669029623907,0.003186149041145026,0.0034493356082205624,0.0046030769071838595,0.0
35,1.4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9092343356902843,0.9384814318896724,0.15491654302215957,0.8613080880949349,0.05805767572018918,0.19768369268882588,9.074445664476937e-05,0.012456072759873048,0.011421970346351744,0.03717762654626953,0.021271804305314113,0.02191750888106351,0.15946260101096782,0.0035587377822863435,0.003464232111013688,0.004748921132857684,0.0
36,1.44,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9098546928045229,0.9394520319238543,0.15420930823931453,0.8706602384151894,0.06090173358592668,0.20403601567807636,9.417429396382889e-05,0.013063674691023345,0.011642705271336568,0.037202198040529336,0.02308210656710965,0.02291840530251632,0.1603629601565557,0.003829241995987943,0.0035427153377474655,0.0049166866318510055,0.0
37,1.48,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9074100252240741,0.937712564767051,0.1573569059310143,0.8656427422495361,0.06254399513849301,0.2101275773703811,0.00011289138131696122,0.014304229851190363,0.012095893650534581,0.03746439945024031,0.023477433345900467,0.02312476627232417,0.1591865495798286,0.003917994815424809,0.0037452666263021817,0.005072413885666053,0.0
38,1.52,1.0,1,0.0,0.0,0.0,0.0,0.0,0.907388909978384,0.9377431313689524,0.15801122872756182,0.8645585627743627,0.06421713663754776,0.21249397637393821,0.00011829443442053958,0.01484616939198381,0.012262777012890842,0.037910575316851255,0.024034226860611383,0.02352115913867303,0.159471467843373,0.004032695504566213,0.0037835186792336915,0.0051023761432678,0.0
39,1.56,1.0,1,0.0,0.0,0.0,0.0,0.0,0.907388909978384,0.9377431313689524,0.15801122872756182,0.8645585627743627,0.06421713663754776,0.21249397637393821,0.00011829443442053958,0.01484616939198381,0.012262777012890842,0.037910575316851255,0.024034226860611383,0.02352115913867303,0.159471467843373,0.004032695504566213,0.0037835186792336915,0.0051023761432678,0.0
40,1.6,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9119059885312006,0.9412675460475699,0.1468982521456251,0.8712028129931529,0.059454706162287846,0.19742304543232417,7.735630266798579e-05,0.011592285459948165,0.011286334012158058,0.03680405103216401,0.019307269532452244,0.01977475072310876,0.1636763120295099,0.0033981012547488506,0.003294349179840536,0.004546222451047471,0.0
41,1.64,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9094220662307132,0.9397866351790479,0.1551497996042325,0.8733853921997282,0.0616603804143058,0.20688647237935529,9.908780249208966e-05,0.01332779205942741,0.01167530590974136,0.03760706694885622,0.022898559902793283,0.02297439452776501,0.15714419656341166,0.003847333690664452,0.0035621851392671424,0.00494705218902452,0.0
42,1.68,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9094903499180955,0.9398422649048177,0.15521792125287687,0.8735331574360196,0.061591680982348185,0.206709523242366,9.850178493909445e-05,0.013328430970518482,0.011662662352448833,0.037585276640940114,0.022861819628372353,0.022935394741883237,0.1575115967024006,0.003839623998400834,0.0035649454205076434,0.0049479629787950175,0.0
43,1.72,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9078365907207618,0.9422020682326911,0.1546855648959012,0.8714478748680812,0.05603733013113291,0.1968590180787238,9.317121071260461e-05,0.011773586146438381,0.010594447615904667,0.0370251809936771,0.018358541180457724,0.019006974044255102,0.14856528178010606,0.003238212626157686,0.003316154385799659,0.0045122924894824695,0.0
44,1.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8990861431952404,0.9245376268334967,0.1599836612495314,0.9030045886291881,0.0999308708513089,0.24302558077969594,0.00011942726370376539,0.030009803111044276,0.01813656908478504,0.0521082324777633,0.026718235565534886,0.02202251752593181,0.32073433591802475,0.004042556949772043,0.004628364804339355,0.004008667116886366,0.0
45,1.8,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9095289579272483,0.9395481084020525,0.15337224010908754,0.8719723103877672,0.059847479681953676,0.20232167502171589,9.176391980038315e-05,0.012855790927369421,0.01162267788222274,0.03758116624821933,0.022544175205648685,0.022510279387314047,0.1623065155744856,0.0037850336458875914,0.003547458814013648,0.004914138382298079,0.0
46,1.84,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9066606912081893,0.9367529177700458,0.15833289890428123,0.8628192035337662,0.06463766640555758,0.21232717201207474,0.00011941120375033084,0.015015721732186791,0.012238171843696929,0.03732823901825411,0.02433479526997795,0.023717232687418925,0.16277866801807406,0.004123465317466834,0.0037880426038170985,0.005094462154519274,0.0
47,1.88,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9072166207486272,0.9371441375204057,0.15771074461731038,0.8626266890412587,0.06376586618321509,0.21132341394564028,0.00011831281202427314,0.015122038419434217,0.012307148118938897,0.03762786546147568,0.024724835329494203,0.023827078321821266,0.16486824673937403,0.004151774993283439,0.00378013081878265,0.005078204796843393,0.0
48,1.92,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9065829022382709,0.9360736814951792,0.15630186935212773,0.8624384577691082,0.06485765604698134,0.21378386937223576,0.00011905352922993375,0.015078476501981722,0.012301707300064421,0.03751245568136985,0.02438390424088293,0.023399294322201315,0.1644024034581737,0.004194129315940511,0.0037269497842150616,0.005000132883590674,0.0
49,1.96,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9085264763294573,0.9381255237602445,0.15583588852141797,0.8678020029741232,0.06281146140481281,0.20906903963760565,0.00011031601116644389,0.014790137392146819,0.01263091164603919,0.03895447185326103,0.024093487929620877,0.023588610108202644,0.16723287775663329,0.003992805331899897,0.003839155775956087,0.005130462951228755,0.0
