frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.11200000000000002,0.0,0.024,0.014000000000000002,0.072,0.0,0.01,0.118,0.0,0.0,0.268,0.05
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.014000000000000002,0.0,0.134,0.01,0.012,0.012,0.072,0.0,0.004,0.136,0.0,0.0,0.27,0.08
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.012,0.0,0.026000000000000002,0.0,0.148,0.022,0.012,0.012,0.048,0.0,0.0,0.146,0.0,0.0,0.268,0.08399999999999999
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.012,0.0,0.018,0.0,0.13,0.018,0.024,0.016,0.028000000000000004,0.0,0.0,0.148,0.0,0.0,0.262,0.05600000000000001
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,0.022,0.0,0.028000000000000004,0.0,0.132,0.02,0.032,0.016,0.01,0.0,0.0,0.13999999999999999,0.0,0.0,0.27,0.052000000000000005
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,0.024,0.0,0.022,0.0,0.132,0.022,0.036,0.016,0.01,0.01,0.002,0.134,0.0,0.0,0.3,0.032
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.066,0.026000000000000002,0.0,0.022,0.0,0.146,0.026000000000000002,0.038,0.01,0.008,0.018,0.012,0.11599999999999999,0.0,0.002,0.32799999999999996,0.016
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.062,0.018,0.0,0.018,0.0,0.156,0.026000000000000002,0.026000000000000002,0.006,0.0,0.022,0.024,0.10600000000000001,0.0,0.002,0.32999999999999996,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.046,0.006,0.0,0.006,0.0,0.162,0.024,0.016,0.004,0.0,0.018,0.036,0.09,0.0,0.002,0.306,0.0
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.002,0.0,0.006,0.0,0.176,0.018,0.002,0.004,0.0,0.018,0.04,0.06999999999999999,0.002,0.0,0.282,0.0
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.16799999999999998,0.02,0.0,0.002,0.0,0.014000000000000002,0.032,0.046,0.002,0.0,0.282,0.0
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.152,0.018,0.0,0.002,0.0,0.018,0.02,0.032,0.002,0.006,0.268,0.002
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.0,0.0,0.13,0.014000000000000002,0.0,0.008,0.0,0.024,0.012,0.02,0.0,0.026000000000000002,0.256,0.002
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.122,0.008,0.0,0.014000000000000002,0.0,0.024,0.01,0.012,0.0,0.052000000000000005,0.22799999999999998,0.008
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.0,0.02,0.0,0.02,0.008,0.0,0.0,0.078,0.21600000000000003,0.008
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.016,0.0,0.008,0.002,0.0,0.0,0.086,0.19,0.012
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,0.0,0.0,0.01,0.0,0.012,0.0,0.0,0.0,0.086,0.162,0.008
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.012,0.0,0.006,0.0,0.0,0.008,0.074,0.118,0.004
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.014000000000000002,0.0,0.008,0.01,0.0,0.008,0.062,0.086,0.0
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.10600000000000001,0.0,0.0,0.014000000000000002,0.0,0.006,0.014000000000000002,0.0,0.008,0.036,0.05,0.0
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.01,0.0,0.014000000000000002,0.022,0.0,0.0,0.046,0.026000000000000002,0.0
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.10600000000000001,0.0,0.0,0.008,0.0,0.016,0.028000000000000004,0.0,0.0,0.05,0.004,0.006
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.0,0.006,0.0,0.016,0.024,0.0,0.0,0.052000000000000005,0.008,0.006
23,0.92,0.93,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.004,0.0,0.018,0.02,0.0,0.016,0.044,0.008,0.006
24,0.96,0.93,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.004,0.0,0.01,0.006,0.0,0.034,0.028000000000000004,0.008,0.0
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.0,0.0,0.0,0.13799999999999998,0.0,0.0,0.006,0.0,0.014000000000000002,0.01,0.0,0.034,0.05,0.0,0.0
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.0,0.0,0.0,0.13999999999999999,0.0,0.0,0.01,0.0,0.004,0.01,0.0,0.02,0.034,0.0,0.0
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.0,0.0,0.0,0.136,0.0,0.0,0.01,0.0,0.004,0.014000000000000002,0.0,0.012,0.032,0.0,0.0
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.126,0.0,0.0,0.006,0.0,0.0,0.012,0.0,0.028000000000000004,0.006,0.0,0.002
