frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.034,0.0,0.0,0.10400000000000001,0.01,0.0,0.08199999999999999,0.2,0.0,0.01,0.0,0.0,0.08399999999999999,0.01,0.072
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.026000000000000002,0.0,0.0,0.092,0.01,0.0,0.08399999999999999,0.20800000000000002,0.0,0.004,0.0,0.002,0.074,0.008,0.057999999999999996
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.08199999999999999,0.008,0.0,0.086,0.21400000000000002,0.0,0.0,0.0,0.002,0.066,0.006,0.06
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.08199999999999999,0.004,0.0,0.088,0.21200000000000002,0.0,0.0,0.0,0.004,0.062,0.008,0.06999999999999999
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.08199999999999999,0.006,0.0,0.086,0.22000000000000003,0.0,0.0,0.0,0.002,0.06,0.004,0.068
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.078,0.006,0.0,0.08,0.23199999999999998,0.0,0.0,0.0,0.002,0.062,0.006,0.064
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.068,0.006,0.0,0.074,0.244,0.0,0.0,0.0,0.0,0.068,0.004,0.066
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.05600000000000001,0.006,0.0,0.06999999999999999,0.254,0.0,0.016,0.0,0.0,0.048,0.004,0.052000000000000005
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.057999999999999996,0.008,0.0,0.064,0.252,0.0,0.03,0.0,0.0,0.038,0.0,0.046
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.05,0.0,0.0,0.044,0.012,0.0,0.05600000000000001,0.236,0.01,0.057999999999999996,0.0,0.0,0.018,0.006,0.03
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.014000000000000002,0.05,0.004,0.0,0.04,0.01,0.0,0.041999999999999996,0.21600000000000003,0.026000000000000002,0.064,0.01,0.0,0.022,0.008,0.024
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.034,0.048,0.008,0.0,0.024,0.006,0.0,0.038,0.20600000000000002,0.044,0.078,0.018,0.0,0.028000000000000004,0.016,0.008
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.044,0.052000000000000005,0.008,0.0,0.022,0.004,0.0,0.036,0.202,0.052000000000000005,0.076,0.02,0.0,0.038,0.026000000000000002,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.032,0.052000000000000005,0.006,0.0,0.014000000000000002,0.0,0.0,0.044,0.20600000000000002,0.066,0.086,0.014000000000000002,0.0,0.044,0.032,0.0
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.012,0.048,0.0,0.0,0.012,0.002,0.0,0.044,0.202,0.08199999999999999,0.09,0.004,0.0,0.034,0.03,0.0
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.044,0.0,0.0,0.008,0.004,0.0,0.046,0.2,0.10800000000000001,0.088,0.004,0.0,0.028000000000000004,0.018,0.0
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.044,0.0,0.0,0.008,0.008,0.0,0.044,0.19,0.10600000000000001,0.08399999999999999,0.002,0.0,0.022,0.024,0.0
