frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.078,0.12,0.11399999999999999,0.024,0.046,0.10400000000000001,0.0,0.0,0.0,0.11000000000000001,0.02,0.136,0.124,0.0,0.0,0.0,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.11200000000000002,0.028000000000000004,0.06,0.098,0.0,0.0,0.0,0.16,0.006,0.136,0.132,0.016,0.0,0.0,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.11200000000000002,0.172,0.10600000000000001,0.028000000000000004,0.062,0.10200000000000001,0.0,0.0,0.0,0.194,0.002,0.152,0.11399999999999999,0.026000000000000002,0.0,0.0,0.0
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.152,0.088,0.03,0.05,0.092,0.0,0.0,0.0,0.194,0.002,0.144,0.10600000000000001,0.016,0.0,0.0,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.094,0.128,0.094,0.02,0.052000000000000005,0.094,0.0,0.0,0.0,0.18,0.002,0.11399999999999999,0.10200000000000001,0.022,0.0,0.0,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.092,0.12,0.10400000000000001,0.012,0.048,0.078,0.0,0.0,0.0,0.16599999999999998,0.0,0.08199999999999999,0.126,0.016,0.0,0.0,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.1,0.10600000000000001,0.118,0.0,0.052000000000000005,0.092,0.0,0.0,0.0,0.172,0.0,0.08399999999999999,0.128,0.02,0.0,0.0,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.098,0.098,0.122,0.0,0.048,0.088,0.0,0.0,0.0,0.182,0.008,0.10800000000000001,0.134,0.022,0.0,0.0,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.098,0.078,0.11599999999999999,0.004,0.044,0.09,0.0,0.0,0.0,0.182,0.008,0.11000000000000001,0.132,0.026000000000000002,0.0,0.0,0.004
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.09,0.06999999999999999,0.11399999999999999,0.004,0.032,0.076,0.0,0.0,0.0,0.176,0.008,0.11000000000000001,0.124,0.03,0.0,0.0,0.004
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.098,0.064,0.11399999999999999,0.004,0.026000000000000002,0.094,0.0,0.0,0.0,0.16599999999999998,0.0,0.092,0.122,0.02,0.0,0.0,0.004
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.094,0.08199999999999999,0.118,0.006,0.026000000000000002,0.1,0.0,0.0,0.0,0.16999999999999998,0.0,0.09,0.136,0.012,0.0,0.0,0.0
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.096,0.08399999999999999,0.11599999999999999,0.008,0.028000000000000004,0.11599999999999999,0.0,0.0,0.0,0.162,0.0,0.094,0.142,0.016,0.0,0.0,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.12,0.12,0.008,0.03,0.10400000000000001,0.0,0.0,0.0,0.182,0.0,0.08399999999999999,0.16799999999999998,0.02,0.0,0.0,0.0
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10800000000000001,0.118,0.118,0.014000000000000002,0.034,0.10800000000000001,0.0,0.0,0.0,0.186,0.0,0.086,0.16799999999999998,0.026000000000000002,0.0,0.0,0.0
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.13,0.13799999999999998,0.118,0.014000000000000002,0.036,0.08,0.0,0.0,0.0,0.21000000000000002,0.0,0.094,0.172,0.02,0.0,0.0,0.004
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.142,0.124,0.10800000000000001,0.014000000000000002,0.041999999999999996,0.048,0.0,0.0,0.0,0.196,0.0,0.11399999999999999,0.158,0.03,0.0,0.0,0.004
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.146,0.134,0.11000000000000001,0.012,0.034,0.028000000000000004,0.0,0.0,0.0,0.194,0.0,0.11399999999999999,0.158,0.03,0.0,0.0,0.004
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.146,0.146,0.10600000000000001,0.016,0.028000000000000004,0.028000000000000004,0.0,0.0,0.0,0.16399999999999998,0.0,0.1,0.152,0.028000000000000004,0.0,0.002,0.0
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.13799999999999998,0.142,0.11200000000000002,0.03,0.026000000000000002,0.072,0.0,0.0,0.0,0.16599999999999998,0.0,0.10400000000000001,0.144,0.014000000000000002,0.0,0.002,0.0
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.144,0.134,0.10600000000000001,0.038,0.032,0.088,0.0,0.0,0.0,0.154,0.0,0.11399999999999999,0.142,0.012,0.0,0.01,0.0
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.142,0.126,0.10800000000000001,0.032,0.032,0.096,0.0,0.006,0.0,0.156,0.0,0.11599999999999999,0.162,0.012,0.0,0.008,0.0
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.142,0.11200000000000002,0.10600000000000001,0.018,0.03,0.08199999999999999,0.0,0.006,0.0,0.146,0.0,0.118,0.172,0.016,0.0,0.008,0.0
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.142,0.094,0.11000000000000001,0.002,0.032,0.08399999999999999,0.0,0.01,0.0,0.146,0.0,0.10600000000000001,0.16799999999999998,0.01,0.0,0.0,0.0
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.128,0.076,0.11399999999999999,0.0,0.05600000000000001,0.13999999999999999,0.0,0.028000000000000004,0.0,0.144,0.004,0.11399999999999999,0.13799999999999998,0.008,0.0,0.014000000000000002,0.0
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.054000000000000006,0.142,0.0,0.11000000000000001,0.258,0.0,0.1,0.0,0.132,0.022,0.11200000000000002,0.118,0.002,0.0,0.014000000000000002,0.016
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.078,0.032,0.174,0.0,0.182,0.426,0.0,0.174,0.0,0.128,0.041999999999999996,0.11200000000000002,0.10400000000000001,0.002,0.0,0.014000000000000002,0.026000000000000002
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.004,0.21400000000000002,0.0,0.244,0.5860000000000001,0.012,0.248,0.0,0.092,0.038,0.08399999999999999,0.074,0.0,0.0,0.008,0.044
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.002,0.22599999999999998,0.0,0.294,0.678,0.032,0.306,0.004,0.064,0.036,0.044,0.046,0.0,0.012,0.008,0.05600000000000001
29,1.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.23399999999999999,0.0,0.308,0.732,0.048,0.352,0.004,0.022,0.036,0.016,0.006,0.0,0.032,0.008,0.072
30,1.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23399999999999999,0.0,0.312,0.736,0.05,0.372,0.006,0.02,0.036,0.026000000000000002,0.006,0.0,0.048,0.0,0.09
31,1.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,0.298,0.702,0.03,0.35,0.002,0.022,0.026000000000000002,0.036,0.01,0.0,0.052000000000000005,0.0,0.08
32,1.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.22799999999999998,0.0,0.296,0.65,0.016,0.33799999999999997,0.002,0.05,0.016,0.068,0.014000000000000002,0.0,0.032,0.0,0.06999999999999999
33,1.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.242,0.0,0.294,0.61,0.002,0.32799999999999996,0.0,0.074,0.024,0.06999999999999999,0.028000000000000004,0.0,0.028000000000000004,0.0,0.11000000000000001
34,1.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.288,0.0,0.27999999999999997,0.5820000000000001,0.002,0.344,0.012,0.098,0.018,0.078,0.038,0.0,0.048,0.0,0.322
35,1.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.33599999999999997,0.0,0.27599999999999997,0.5820000000000001,0.01,0.35,0.03,0.10600000000000001,0.008,0.06,0.054000000000000006,0.0,0.076,0.0,0.504
36,1.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.0,0.352,0.0,0.298,0.63,0.036,0.364,0.032,0.124,0.0,0.08199999999999999,0.057999999999999996,0.0,0.064,0.012,0.5780000000000001
37,1.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.32599999999999996,0.0,0.314,0.682,0.04,0.348,0.032,0.11599999999999999,0.0,0.092,0.036,0.0,0.038,0.026000000000000002,0.44400000000000006
38,1.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.296,0.0,0.314,0.716,0.036,0.356,0.022,0.11399999999999999,0.0,0.098,0.016,0.0,0.032,0.028000000000000004,0.306
39,1.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.262,0.0,0.29,0.696,0.016,0.356,0.026000000000000002,0.09,0.0,0.06999999999999999,0.004,0.0,0.052000000000000005,0.038,0.186
40,1.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.256,0.0,0.284,0.6719999999999999,0.018,0.382,0.014000000000000002,0.09,0.022,0.06999999999999999,0.024,0.0,0.06,0.04,0.096
41,1.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.002,0.254,0.0,0.286,0.642,0.014000000000000002,0.384,0.012,0.08,0.032,0.062,0.028000000000000004,0.0,0.05600000000000001,0.038,0.052000000000000005
42,1.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.25,0.0,0.282,0.6,0.01,0.40199999999999997,0.01,0.086,0.032,0.041999999999999996,0.022,0.0,0.057999999999999996,0.032,0.026000000000000002
