frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.028000000000000004,0.044,0.086,0.0,0.0,0.0,0.0,0.0,0.08,0.048,0.0,0.0,0.0,0.032,0.21800000000000003,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.136,0.028000000000000004,0.032,0.096,0.0,0.0,0.0,0.0,0.0,0.09,0.026000000000000002,0.004,0.0,0.0,0.044,0.192,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.144,0.024,0.032,0.08199999999999999,0.0,0.0,0.0,0.0,0.0,0.088,0.022,0.004,0.0,0.0,0.034,0.16999999999999998,0.0
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.162,0.052000000000000005,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.098,0.024,0.004,0.0,0.0,0.03,0.16799999999999998,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.174,0.08199999999999999,0.05,0.05600000000000001,0.0,0.0,0.0,0.0,0.0,0.078,0.024,0.0,0.0,0.0,0.012,0.178,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.162,0.08199999999999999,0.048,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.088,0.026000000000000002,0.0,0.0,0.0,0.018,0.184,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.152,0.054000000000000006,0.052000000000000005,0.086,0.0,0.0,0.0,0.0,0.0,0.092,0.044,0.0,0.0,0.0,0.018,0.16999999999999998,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.132,0.041999999999999996,0.05,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.098,0.072,0.0,0.0,0.0,0.014000000000000002,0.146,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.15,0.054000000000000006,0.05,0.08199999999999999,0.0,0.0,0.0,0.0,0.0,0.1,0.074,0.0,0.0,0.0,0.022,0.142,0.0
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.156,0.05,0.046,0.062,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.08399999999999999,0.0,0.0,0.0,0.036,0.156,0.0
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.178,0.046,0.044,0.096,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.078,0.0,0.0,0.0,0.064,0.18,0.0
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.176,0.03,0.048,0.088,0.0,0.008,0.0,0.0,0.0,0.092,0.066,0.0,0.0,0.0,0.06,0.182,0.0
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.176,0.02,0.064,0.10800000000000001,0.0,0.014000000000000002,0.0,0.0,0.0,0.086,0.03,0.0,0.0,0.0,0.057999999999999996,0.172,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.03,0.076,0.098,0.0,0.014000000000000002,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.048,0.146,0.0
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.16599999999999998,0.032,0.078,0.122,0.0,0.006,0.0,0.0,0.0,0.098,0.006,0.0,0.0,0.0,0.06999999999999999,0.144,0.0
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.16599999999999998,0.048,0.072,0.12,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.024,0.0,0.0,0.0,0.072,0.146,0.0
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.16599999999999998,0.046,0.064,0.11399999999999999,0.0,0.0,0.0,0.0,0.0,0.11399999999999999,0.032,0.0,0.0,0.0,0.06999999999999999,0.154,0.0
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.178,0.078,0.064,0.08,0.0,0.0,0.0,0.0,0.0,0.11000000000000001,0.044,0.0,0.0,0.0,0.052000000000000005,0.16599999999999998,0.0
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.178,0.066,0.066,0.064,0.0,0.0,0.0,0.0,0.0,0.096,0.036,0.0,0.0,0.0,0.046,0.16399999999999998,0.0
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.174,0.072,0.06999999999999999,0.064,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.028000000000000004,0.0,0.0,0.0,0.05600000000000001,0.156,0.0
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.072,0.088,0.0,0.002,0.0,0.0,0.0,0.11399999999999999,0.018,0.0,0.0,0.0,0.054000000000000006,0.142,0.0
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.152,0.066,0.078,0.09,0.0,0.002,0.0,0.0,0.0,0.134,0.01,0.0,0.0,0.0,0.034,0.134,0.0
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.05600000000000001,0.068,0.088,0.0,0.002,0.0,0.0,0.0,0.146,0.03,0.0,0.0,0.0,0.02,0.144,0.0
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.15,0.072,0.06999999999999999,0.078,0.0,0.0,0.0,0.0,0.0,0.148,0.038,0.0,0.0,0.0,0.036,0.154,0.0
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.158,0.074,0.054000000000000006,0.086,0.0,0.002,0.0,0.0,0.0,0.198,0.032,0.0,0.008,0.0,0.044,0.13999999999999999,0.0
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.148,0.076,0.048,0.076,0.006,0.006,0.0,0.0,0.016,0.268,0.01,0.0,0.044,0.0,0.032,0.11599999999999999,0.0
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10800000000000001,0.066,0.028000000000000004,0.052000000000000005,0.022,0.008,0.0,0.0,0.04,0.37,0.0,0.026000000000000002,0.06999999999999999,0.014000000000000002,0.008,0.057999999999999996,0.0
