frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.06113011,1.18278e-07,0.14963,0.75397,0.07254536,0.06215387,0.07539662,0.0502142,0.06329121,0.05258516,0.02854692,0.05259526,0.01518321,0.09944386,0.0189872,0.02291364,0.14032,0.08497642,0.05050363,0.05066751
1,0.06154682,1.176392e-07,0.1473355,0.7452611,0.07274094,0.06268012,0.07539018,0.05026787,0.06262115,0.05260155,0.02852943,0.05327673,0.0151823,0.1048381,0.01918596,0.02290074,0.1461328,0.0852991,0.05049714,0.05065521
2,0.06237507,1.159951e-07,0.1440689,0.7241535,0.0725998,0.06373584,0.07537814,0.05015728,0.0618337,0.05259066,0.02859952,0.0553677,0.01518697,0.1067037,0.01905772,0.02287675,0.1474282,0.08566414,0.05049575,0.0506453
3,0.06311727,1.129728e-07,0.142191,0.7052876,0.07255746,0.06458303,0.0753708,0.05007457,0.06161825,0.05253454,0.02867301,0.05919109,0.01519404,0.106174,0.01914754,0.02282733,0.1507079,0.08599517,0.05049678,0.05063809
4,0.06379268,1.109228e-07,0.1395555,0.6897386,0.0725887,0.06513153,0.07535925,0.05000474,0.06147629,0.05255355,0.02871473,0.0610244,0.01519811,0.1055896,0.01912536,0.02295909,0.1524906,0.08638535,0.05049956,0.05063334
5,0.06409316,1.091168e-07,0.1369664,0.6720565,0.07258543,0.06568979,0.07535024,0.04992066,0.06106007,0.05256246,0.02873193,0.06259739,0.01520201,0.104964,0.0192133,0.02308945,0.154699,0.08675405,0.05050341,0.05062843
6,0.06391338,1.071911e-07,0.1344056,0.6529043,0.07263286,0.06622761,0.07534036,0.04987135,0.06059867,0.05260088,0.02874077,0.0634466,0.01520643,0.1043335,0.01921585,0.02321688,0.157097,0.08709504,0.05051862,0.05061961
7,0.06366387,1.050951e-07,0.1319665,0.6343035,0.07279073,0.06674671,0.07533082,0.04985233,0.06015276,0.05265174,0.02878755,0.0642482,0.01521086,0.1038818,0.0191034,0.02338716,0.1602358,0.08739126,0.0505407,0.05060819
8,0.06330938,1.02375e-07,0.1293538,0.6136152,0.07287183,0.06719809,0.07532064,0.04984426,0.05964676,0.05267524,0.02885528,0.0651116,0.0152179,0.1034638,0.01898793,0.02353559,0.1624463,0.08767885,0.05055809,0.05060675
9,0.0631327,9.976636e-08,0.1269307,0.5931744,0.07333946,0.06786843,0.07531217,0.04989518,0.05936816,0.05269368,0.02892902,0.06724793,0.01522568,0.1036955,0.0190293,0.02357709,0.1655977,0.08775327,0.05058106,0.05060463
10,0.06286542,1.006883e-07,0.1246752,0.5804287,0.07418337,0.06865811,0.07530837,0.04979181,0.05933464,0.0526888,0.02908402,0.07199594,0.01523349,0.1038828,0.01900409,0.02350232,0.1688512,0.08756363,0.05060587,0.05058836
