frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.03394252,0.01667875,0.07768522,0.04194728,0.06992548,0.05088508,0.07553338,0.04549665,0.03289725,0.07081894,0.02862756,0.0573004,0.01554495,0.05225315,0.02002287,0.02367811,0.04642104,0.08154378,0.05048368,0.05124073
1,0.0339009,0.01586068,0.07762534,0.04200904,0.07009152,0.05102175,0.07552069,0.04541992,0.03287086,0.07068104,0.02862397,0.05667405,0.01553698,0.0522807,0.01999857,0.02376097,0.04597697,0.08160147,0.05047342,0.05122847
2,0.03385915,0.01534131,0.0775684,0.04208674,0.07008044,0.05133429,0.07550434,0.0453316,0.03286815,0.07062687,0.02859148,0.05581032,0.01552874,0.05230771,0.0197866,0.02389394,0.04552792,0.08151487,0.05046383,0.05125611
3,0.03382446,0.01526614,0.07750697,0.04217274,0.0698828,0.05163501,0.07548732,0.04523953,0.03285414,0.0705685,0.02856734,0.05473654,0.01552508,0.05235268,0.01963802,0.02416997,0.04493867,0.08135551,0.05045448,0.0513411
4,0.03379641,0.01546999,0.07744886,0.04224966,0.06992742,0.05198556,0.07547323,0.04523093,0.032847,0.07022478,0.02854761,0.05397592,0.01554317,0.05232245,0.01989129,0.02437126,0.0441997,0.0812936,0.05044154,0.05139189
5,0.03376129,0.01454177,0.07741547,0.04251827,0.06948417,0.05249441,0.0754585,0.05419167,0.03291517,0.06926505,0.02852206,0.0549056,0.01565715,0.05225784,0.01977067,0.02449718,0.04310779,0.08108275,0.05042308,0.05137954
6,0.03381375,0.01369875,0.07740358,0.04349453,0.06940735,0.05290966,0.07555522,0.1131619,0.03286614,0.06833789,0.02858583,0.0560217,0.0160219,0.05218839,0.01922075,0.02523925,0.04216786,0.08081023,0.05044609,0.05133259
7,0.03402343,0.01284969,0.07738186,0.04388756,0.06982002,0.05364344,0.07562573,0.1684554,0.03296231,0.06738457,0.0291898,0.06054003,0.0182427,0.0528358,0.01955048,0.02519017,0.04270674,0.08280662,0.05060142,0.05129783
8,0.03405161,0.01204854,0.07735647,0.04409532,0.07023995,0.05408173,0.07562435,0.2203014,0.03289445,0.06639139,0.03021467,0.06178989,0.01855392,0.05352528,0.01994596,0.024872,0.04911143,0.08530516,0.05075586,0.0512699
9,0.03402583,0.01129733,0.07731996,0.04415952,0.07031274,0.05456492,0.07561808,0.2689148,0.03289918,0.06545246,0.03057926,0.06211316,0.01883886,0.05483804,0.02176895,0.02458491,0.0521635,0.08789419,0.05075239,0.05124944
10,0.03398526,0.01059296,0.0772813,0.04425834,0.07025516,0.05575499,0.07561952,0.3144973,0.03286266,0.06463163,0.03090778,0.06279878,0.01901588,0.05513599,0.02449646,0.02430733,0.05529133,0.09039412,0.05073439,0.05124642
11,0.03394656,0.009932509,0.07726165,0.04443327,0.07030097,0.05727629,0.07563647,0.3572377,0.03282635,0.06384525,0.03099053,0.0631896,0.01926386,0.05535792,0.02688618,0.02406326,0.06069192,0.09405438,0.05071906,0.0512403
12,0.03391941,0.009313232,0.0772365,0.04460394,0.07024544,0.05882964,0.07565742,0.3973133,0.03279189,0.06312319,0.03096505,0.06440996,0.01948224,0.0554611,0.02820748,0.02384065,0.06701773,0.09667713,0.05072109,0.05123542
13,0.03390671,0.008732566,0.07721735,0.04480707,0.07020715,0.05990798,0.07568227,0.4348902,0.03277409,0.06246454,0.03092377,0.06565838,0.01973731,0.05560816,0.02945004,0.02368843,0.07352649,0.09874668,0.05072976,0.05122255
14,0.03389283,0.008188104,0.07718939,0.04498468,0.07011476,0.06115433,0.07571308,0.4701242,0.03277981,0.06183034,0.03081702,0.06652036,0.01997803,0.05565156,0.03019143,0.0235254,0.08101296,0.1006897,0.05075214,0.0512255
15,0.03391384,0.007677589,0.077177,0.04506878,0.06986573,0.06220496,0.07575878,0.5031615,0.03276181,0.06124807,0.03079556,0.06768513,0.02013623,0.05572769,0.0305158,0.02338388,0.08846162,0.1015651,0.05078461,0.05121792
16,0.03392851,0.007198905,0.07715928,0.04520169,0.06969497,0.06347654,0.07580331,0.5341389,0.03272631,0.06070346,0.03079548,0.06828421,0.02029031,0.05577645,0.03088106,0.02325348,0.09630627,0.1028616,0.05081388,0.05121882
17,0.03393525,0.006750066,0.07713942,0.04533209,0.0694373,0.0646995,0.07584085,0.5631849,0.03266441,0.06019321,0.03080801,0.06860785,0.02049267,0.05575991,0.03155086,0.02312936,0.1029012,0.104217,0.05085009,0.05122172
18,0.03394575,0.006329212,0.0771083,0.04545128,0.06915569,0.0660969,0.07586975,0.5904199,0.03258253,0.05971463,0.03085726,0.06878048,0.02067907,0.05578241,0.03243442,0.0229921,0.1093498,0.1056257,0.05087645,0.05122622
