frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.03521995,0.08079075,0.07568519,0.04350736,0.0644334,0.05404806,0.07528614,0.04306148,0.03647654,0.08115204,0.02910258,0.03866606,0.01582181,0.05278814,0.007866263,0.03225988,0.03163096,0.07941274,0.05053013,0.05136954
1,0.03523464,0.07946272,0.07570271,0.04356803,0.06429945,0.05391444,0.07527397,0.04304908,0.03656781,0.08227258,0.02895657,0.03843553,0.01579705,0.05271915,0.007881325,0.032399,0.03168264,0.07926261,0.05052653,0.05137588
2,0.03527635,0.07859681,0.07574407,0.04353818,0.06444032,0.05379323,0.07525975,0.04304353,0.03700706,0.08469156,0.02878341,0.0380454,0.0157615,0.05265864,0.007868367,0.03202056,0.03194794,0.07910609,0.05050535,0.05142504
3,0.03533348,0.07931797,0.07578251,0.04353024,0.06433696,0.05384532,0.07524625,0.0430594,0.03743342,0.08797913,0.02864032,0.03777409,0.01572453,0.05257201,0.007850865,0.03152005,0.03206382,0.07895601,0.05048455,0.05146571
4,0.03539864,0.07998288,0.07580996,0.0435068,0.06429723,0.05400161,0.07523364,0.04307607,0.0380178,0.09083539,0.02850599,0.03744091,0.01568892,0.05248654,0.007850369,0.03106997,0.03212029,0.07882062,0.05046743,0.05150253
5,0.03550202,0.08249349,0.07584708,0.04340682,0.06412381,0.05432315,0.07522213,0.04309545,0.03834929,0.09373491,0.02837345,0.03708683,0.01565668,0.05240467,0.007916331,0.03055579,0.03216206,0.07867368,0.05045424,0.05150405
6,0.0355981,0.08532017,0.07589212,0.04332393,0.06397703,0.05455561,0.07521116,0.04310201,0.03867628,0.09550905,0.02824579,0.03671462,0.01562646,0.05232348,0.007958694,0.03007421,0.03223085,0.07854722,0.0504421,0.05151778
7,0.03565644,0.08492544,0.07593577,0.04326538,0.06382488,0.05476913,0.07520094,0.04310324,0.03921215,0.09651043,0.02810617,0.03626422,0.01559817,0.05223907,0.007998165,0.02966666,0.03220493,0.07842799,0.05042726,0.05153997
8,0.03567791,0.07963043,0.07606241,0.0431602,0.06660847,0.05497529,0.07527961,0.04312344,0.09253913,0.09448508,0.02793216,0.03596276,0.01557723,0.05217992,0.009029404,0.02914101,0.03230365,0.07857051,0.05044703,0.05155551
9,0.03571468,0.07466555,0.07630144,0.04303683,0.07260592,0.05558442,0.07536013,0.04327153,0.1491184,0.09243768,0.02787306,0.03680348,0.01555627,0.05227739,0.009233494,0.02891213,0.03374774,0.07896922,0.051106,0.05166917
10,0.03563551,0.07001023,0.07644109,0.04292073,0.07808915,0.05621873,0.07542449,0.04354298,0.2021701,0.09058805,0.02792456,0.03823401,0.01554704,0.05234805,0.00976294,0.02876214,0.03572544,0.0800382,0.05174164,0.05195376
11,0.03556944,0.06564516,0.07662794,0.04281985,0.08950593,0.05639206,0.07545585,0.04386577,0.251914,0.08889631,0.02784708,0.03996769,0.01553488,0.05255772,0.01007668,0.02852956,0.03892442,0.08110978,0.05226884,0.05224033
12,0.03556911,0.06155225,0.0768071,0.04273453,0.09978068,0.05647218,0.07546708,0.04421911,0.2985564,0.08725473,0.02777713,0.04144975,0.01552038,0.05263342,0.01040087,0.02818909,0.04163091,0.0822747,0.05271733,0.05261564
13,0.03556373,0.05771453,0.07699241,0.04267019,0.1100751,0.05645376,0.07549079,0.04450953,0.3422907,0.08575132,0.02768514,0.04215673,0.0155063,0.05270135,0.01102578,0.02785213,0.04341314,0.0832524,0.05314282,0.0528743
14,0.03557165,0.05411609,0.07715112,0.04259863,0.1197239,0.05643128,0.07550711,0.04483046,0.3832982,0.08423201,0.02759394,0.04273913,0.01548734,0.0527611,0.01167434,0.02758215,0.04493299,0.08417327,0.05353253,0.05311799
15,0.03556843,0.050742,0.07728081,0.04255015,0.128349,0.05645245,0.07552496,0.04519148,0.421749,0.08280282,0.0275007,0.04307918,0.0154704,0.05281159,0.01209658,0.02730957,0.04647106,0.08499249,0.05382088,0.05334156
16,0.03558119,0.04757829,0.0774101,0.04249618,0.1384503,0.05649923,0.07554413,0.04550484,0.4578024,0.08145713,0.02740969,0.04334046,0.01545337,0.0528415,0.01249159,0.02715379,0.04774547,0.08566148,0.05412892,0.05352031
17,0.03559203,0.04461184,0.07753225,0.04244674,0.1482615,0.05655107,0.07556375,0.04575936,0.4916078,0.08025579,0.0273203,0.0436452,0.01543891,0.0528733,0.01289649,0.027008,0.04882605,0.08622368,0.05439566,0.0537084
18,0.03567425,0.04183034,0.07761755,0.04239116,0.1583968,0.0565166,0.07558528,0.04607585,0.5233056,0.07919633,0.02723388,0.04407522,0.01542208,0.05296497,0.01318003,0.02698318,0.0499505,0.08681169,0.05467971,0.05389268
