frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.04418212,0.07625928,0.09826609,0.04880411,0.06834483,0.04988343,0.07511416,0.04347811,0.09802414,0.2387,0.03563693,0.07207426,0.01512606,0.22317,0.02762499,0.05110343,0.0296804,0.07609617,0.05044065,0.06711364
1,0.04420959,0.07693218,0.09858744,0.04864914,0.07202749,0.05008236,0.07511795,0.04351615,0.1006288,0.2400542,0.03544561,0.07360616,0.01512246,0.2211873,0.02699417,0.05097683,0.02985617,0.07614908,0.05042541,0.06711923
2,0.04381753,0.07439883,0.09836264,0.04822826,0.07571808,0.05034124,0.07512444,0.04354024,0.1032794,0.2411289,0.0350058,0.0735845,0.01511984,0.2182059,0.02656793,0.05108334,0.02997869,0.07615745,0.0504113,0.06688694
3,0.0434051,0.07161126,0.09858132,0.04784986,0.07724139,0.0504332,0.07512819,0.04354483,0.1061032,0.2440893,0.03464631,0.07365874,0.01511769,0.2152727,0.02635469,0.05135779,0.03012339,0.07617918,0.05039931,0.06660517
4,0.04316359,0.06989712,0.09943543,0.04757165,0.07784759,0.05044612,0.07512891,0.04353537,0.1069534,0.251752,0.03445295,0.0743434,0.01511547,0.2132592,0.02601511,0.05110271,0.03010498,0.07618039,0.05038837,0.06674323
5,0.04309935,0.06826548,0.1011802,0.04749002,0.07773199,0.05049612,0.07513331,0.04353999,0.1063683,0.2559536,0.0342938,0.07440998,0.01511318,0.2117879,0.0252673,0.0503678,0.02997798,0.07615967,0.05037726,0.06692043
6,0.04305041,0.0671178,0.1021011,0.04733749,0.07775819,0.05050667,0.0751358,0.04354842,0.1067737,0.2586499,0.03422087,0.07438228,0.01510965,0.2096351,0.02444911,0.04952903,0.02992522,0.07613958,0.05036747,0.06701779
7,0.04301631,0.066314,0.1027339,0.04722346,0.07783157,0.05050608,0.07513521,0.04355028,0.1071681,0.2619276,0.0342457,0.07387624,0.01510616,0.2079108,0.02367043,0.04861612,0.02980329,0.076131,0.05036004,0.06727219
8,0.04284594,0.06426576,0.1029238,0.04721764,0.07784948,0.05047445,0.07513382,0.04355584,0.1078522,0.2657417,0.03434842,0.07340504,0.01510294,0.2071557,0.02298476,0.04778117,0.02968425,0.07612458,0.05035451,0.06736549
9,0.04260416,0.06222787,0.1028681,0.04727915,0.07751925,0.05047089,0.07513181,0.04356229,0.1076501,0.268205,0.03428567,0.07301848,0.01510036,0.2059807,0.0223687,0.04704929,0.02961538,0.07612059,0.05034963,0.06752486
10,0.04239926,0.06038297,0.1032797,0.04738412,0.07726225,0.05046139,0.07513089,0.0435625,0.1072978,0.2711058,0.03429961,0.07303285,0.01509798,0.2051277,0.02185492,0.04661623,0.02951406,0.07611136,0.05034365,0.06783233
11,0.04217622,0.05853688,0.1029027,0.04748292,0.07710728,0.0504462,0.0751295,0.0435601,0.1069344,0.2725182,0.03463947,0.0727171,0.01509542,0.205048,0.02135125,0.04614045,0.02938468,0.0760967,0.05033762,0.06827514
12,0.04191271,0.05645128,0.1026174,0.0476077,0.07717279,0.05043318,0.07512778,0.04356961,0.1058924,0.2747099,0.03473435,0.07265467,0.0150935,0.2042096,0.02110956,0.04578776,0.02929298,0.0760929,0.05033412,0.06832035
13,0.04173513,0.05565935,0.1025397,0.04801352,0.07709488,0.05039161,0.07512584,0.04357653,0.1046659,0.2758041,0.03481447,0.07244485,0.01509305,0.202543,0.02064496,0.04490654,0.02916411,0.07609612,0.05033049,0.06791571
14,0.04156139,0.05460003,0.1023414,0.04829401,0.07685039,0.05037198,0.07512564,0.04359117,0.1043629,0.2755906,0.03465918,0.07186362,0.01509194,0.2011319,0.02022009,0.04417013,0.0290513,0.07610122,0.05032995,0.06791136
