frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.0348589,1.564622e-07,0.08461843,0.04463742,0.05907802,0.04803928,0.07510038,0.04636187,0.10639,0.44149,0.03242389,0.08779181,0.01502936,0.10184,0.007028261,0.02969206,0.0332996,0.07799095,0.05101652,0.05974457
1,0.03496138,0.000167011,0.08471376,0.04471971,0.05910274,0.0480471,0.07509989,0.04628885,0.1081351,0.4382616,0.03234419,0.08864775,0.01502923,0.1027166,0.00707718,0.03030104,0.03337771,0.0780414,0.05100454,0.05976675
2,0.03516703,0.0004505937,0.08533759,0.04488378,0.05902878,0.04807398,0.07510011,0.04616149,0.1092228,0.4341589,0.03210034,0.08947276,0.0150307,0.1038572,0.007174571,0.03075762,0.0333299,0.07803124,0.05099465,0.05981384
3,0.03521785,0.0004225132,0.08528587,0.04500853,0.05898422,0.04810443,0.07510081,0.04601045,0.1086858,0.4332231,0.03180145,0.08949167,0.01503181,0.1038979,0.007258833,0.03102523,0.03328024,0.0779781,0.05098045,0.06005122
4,0.03546598,0.0005781902,0.08616422,0.0452634,0.05878072,0.04813582,0.07510259,0.04588751,0.1077802,0.427233,0.03149331,0.08919145,0.01503263,0.1040152,0.00760405,0.03170664,0.03334854,0.07792909,0.0509711,0.06005187
5,0.03555986,0.0006700246,0.08621176,0.04551166,0.0586118,0.0481573,0.07510199,0.04577477,0.1073132,0.4240256,0.03121257,0.08904905,0.01503421,0.1028992,0.007789703,0.03209018,0.03338886,0.07790292,0.05095221,0.05988996
6,0.03568339,0.001001794,0.08689602,0.0459827,0.05845708,0.0481686,0.07510142,0.04567182,0.1075006,0.4225707,0.03099665,0.08919732,0.01503513,0.1032683,0.007909069,0.03224063,0.03336532,0.07787304,0.05093496,0.05964179
7,0.03581642,0.001225894,0.08786704,0.04641296,0.05834864,0.04818354,0.07510118,0.04561263,0.1078379,0.4170128,0.03081193,0.08948693,0.01503535,0.1036656,0.007999968,0.0323594,0.03331629,0.07786351,0.05091273,0.05938337
8,0.03599992,0.001976888,0.08879185,0.04683098,0.05841919,0.04819142,0.07510322,0.04551062,0.1088668,0.4206139,0.03067082,0.08925678,0.01503552,0.1038916,0.008100193,0.03245815,0.03318046,0.07782927,0.0508932,0.05914297
9,0.03618244,0.002659127,0.08989095,0.04715848,0.05846262,0.048194,0.07510523,0.04540702,0.1084779,0.4238346,0.03048254,0.08839541,0.01503575,0.1035047,0.008145804,0.03239042,0.03310792,0.07779171,0.05087284,0.05900859
10,0.03683376,0.004676101,0.09361188,0.04740053,0.05854733,0.04820221,0.07511014,0.04531112,0.1075249,0.4265833,0.03038322,0.08748928,0.01503618,0.1045232,0.008237043,0.03230435,0.03298657,0.07775323,0.05085161,0.05879414
11,0.03717424,0.005840714,0.09606209,0.04757473,0.05844089,0.0482096,0.07511418,0.04520611,0.1058988,0.4287959,0.03022963,0.08606939,0.0150375,0.1052319,0.008253095,0.03238031,0.03288165,0.07773127,0.0508327,0.05862885
12,0.03732239,0.006344419,0.09721541,0.047674,0.05827492,0.04821409,0.07511832,0.04510171,0.1046602,0.431537,0.03003278,0.0853866,0.0150382,0.1046411,0.008357553,0.03271138,0.03279361,0.07767636,0.05082086,0.05842114
13,0.03767679,0.00711775,0.09979009,0.04770754,0.05810802,0.04821007,0.0751216,0.04501546,0.1034353,0.4257549,0.02989612,0.08613256,0.01503915,0.1048424,0.00847239,0.03290866,0.03271524,0.07761477,0.05081137,0.0582341
14,0.03775202,0.007161194,0.1016849,0.04776795,0.05799023,0.04821363,0.07512358,0.0449621,0.1031027,0.4196768,0.02984628,0.08869494,0.01504003,0.1062626,0.008671643,0.03311297,0.03271042,0.07760423,0.05079612,0.05806918
15,0.03793519,0.007675988,0.1034453,0.04783517,0.05802087,0.04821254,0.07512492,0.04493668,0.1025224,0.4136641,0.02971706,0.08924942,0.01504081,0.1058481,0.008784447,0.03329515,0.03273546,0.07755537,0.05078443,0.05805676
16,0.03822502,0.008532417,0.1067688,0.04786892,0.0579963,0.04821974,0.07512733,0.04491879,0.1025173,0.4079944,0.02956762,0.08985089,0.01504169,0.1050413,0.009162811,0.03375457,0.03273531,0.07752778,0.05078259,0.05787773
17,0.03821713,0.008870255,0.1064521,0.04796426,0.05792719,0.04822575,0.07513015,0.04489522,0.1015685,0.4029607,0.02945627,0.09105666,0.01504259,0.1035163,0.009339196,0.03417086,0.03260831,0.07751577,0.05078114,0.05773328
18,0.03825692,0.00851154,0.1073012,0.04810824,0.05787119,0.04822822,0.07513233,0.04487347,0.1000712,0.3992391,0.02933351,0.09249464,0.01504344,0.1025862,0.009433249,0.03464609,0.03252171,0.07750453,0.05078286,0.05768238
19,0.03844636,0.008634602,0.1094222,0.0482555,0.0577898,0.04821954,0.07513385,0.04486732,0.09890403,0.3936844,0.02923782,0.09199382,0.01504449,0.1009172,0.00950896,0.0350215,0.03245731,0.07748786,0.05077809,0.05758846
20,0.03851641,0.008657251,0.1110974,0.04839614,0.05774539,0.04822491,0.07513543,0.04485599,0.09835272,0.3942927,0.0291506,0.09108469,0.01504496,0.09983128,0.009505619,0.03511259,0.03251684,0.07748099,0.05077223,0.05750495
21,0.03865075,0.008827087,0.1156896,0.04857649,0.05755606,0.04822818,0.07513717,0.0448336,0.09758683,0.389829,0.02908864,0.09015843,0.0150479,0.09923121,0.009587174,0.0355079,0.03251477,0.07743774,0.05077475,0.05742862
22,0.03862903,0.008652667,0.1186612,0.04885375,0.05735957,0.04822555,0.07513864,0.04481135,0.09710423,0.3860619,0.02896443,0.08890902,0.01505072,0.09844017,0.009717905,0.03558693,0.03256575,0.07742194,0.05078289,0.05737612
23,0.03860137,0.008259443,0.1208327,0.04902206,0.05719431,0.04822905,0.07513566,0.04474334,0.09651987,0.3911052,0.02883109,0.08828606,0.01505196,0.09795397,0.009835007,0.03594185,0.03255135,0.07742216,0.05078221,0.05729884
24,0.03855213,0.007930166,0.1210196,0.04924053,0.05699305,0.04822118,0.07513359,0.04467813,0.09550683,0.4014249,0.02874484,0.08735626,0.01505169,0.09803601,0.009932594,0.03627118,0.03247304,0.07742976,0.05077433,0.0571187
25,0.03846151,0.007435741,0.1202533,0.04935735,0.05681365,0.04820906,0.07512798,0.04460412,0.09435276,0.4243185,0.02865268,0.08731088,0.01505198,0.1056553,0.009881511,0.03613357,0.03240186,0.07749993,0.05077714,0.0569839
26,0.03826317,0.006972136,0.1211983,0.04961051,0.05673581,0.04820346,0.07512278,0.04453914,0.09527847,0.4602117,0.02846695,0.08621635,0.01505128,0.1483616,0.009836462,0.03573323,0.03237399,0.07756448,0.05080016,0.05681185
