frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.06336003,0.000488108,0.19524,0.04379002,0.07521534,0.05500335,0.07531697,0.04594748,0.15495,0.20743,0.02932698,0.0955074,0.01504386,0.19694,0.01778534,0.02585639,0.0357293,0.07739973,0.05034874,0.08299708
1,0.06326412,0.0005610727,0.1962819,0.04384748,0.07505991,0.0549008,0.07531917,0.04589554,0.1532447,0.2081495,0.02941331,0.0960394,0.01504582,0.1974637,0.01772642,0.02576342,0.03577846,0.07734359,0.05034828,0.08248678
2,0.06245762,0.0005261049,0.1948296,0.04385811,0.07454105,0.05469908,0.0753227,0.04582376,0.153472,0.2092544,0.02952963,0.09593051,0.01504743,0.198592,0.01768581,0.02572286,0.03581957,0.07731041,0.05034677,0.08195121
3,0.0615603,0.0004933138,0.1937691,0.04385329,0.07450856,0.05448435,0.07533175,0.04578447,0.156065,0.210314,0.02967634,0.09398343,0.01504802,0.1964677,0.01744186,0.02552782,0.03577121,0.0772958,0.05034725,0.08184596
4,0.06080293,0.0004625687,0.1958641,0.04382707,0.07485814,0.05432785,0.07534898,0.04583406,0.1633053,0.2113594,0.02971426,0.09220564,0.0150491,0.1928497,0.01722794,0.0253815,0.03551659,0.07729076,0.0503454,0.08231533
5,0.05978458,0.0004337381,0.1946349,0.04379505,0.07553677,0.05421622,0.07539412,0.04584375,0.1715039,0.2103269,0.02978138,0.09211139,0.01504813,0.1914282,0.01715791,0.02524982,0.03532382,0.07724066,0.05035015,0.08233073
6,0.05876627,0.0004067043,0.1938297,0.04380661,0.07590391,0.05414024,0.07544237,0.04582192,0.1784281,0.2053666,0.02987777,0.09198704,0.01504783,0.190831,0.01723702,0.02509923,0.03548208,0.07718895,0.05035289,0.0824168
7,0.05801945,0.0003813609,0.1956222,0.04384373,0.07688618,0.05401218,0.07545961,0.04574112,0.1858802,0.2044659,0.0299147,0.09092436,0.01504728,0.1902006,0.01736609,0.02498275,0.03522814,0.07718287,0.05035643,0.08215989
8,0.05744703,0.0003575986,0.1971397,0.04389432,0.07757384,0.05382768,0.0754752,0.04568467,0.1881746,0.2035403,0.03002312,0.09033681,0.01504764,0.1886119,0.01722243,0.02482095,0.03521194,0.07721442,0.05035317,0.08144768
9,0.05684087,0.0007546193,0.1968435,0.04393565,0.07818557,0.0536693,0.07548115,0.04566308,0.1899276,0.2005569,0.03014124,0.09303298,0.01504663,0.1859569,0.01722296,0.02463645,0.03519617,0.07721394,0.05034511,0.08036046
10,0.05618781,0.0007899167,0.1978559,0.04399684,0.07864094,0.05355296,0.07547616,0.04571645,0.1910388,0.1965867,0.03018359,0.09476485,0.0150462,0.1834812,0.01750935,0.02440382,0.03543945,0.07718261,0.0503412,0.07910848
11,0.05588045,0.001345699,0.2001132,0.04408643,0.07936487,0.05340894,0.07548222,0.04574836,0.1920888,0.1935567,0.03020253,0.09893757,0.01504654,0.1827673,0.01796556,0.024142,0.03583968,0.07716243,0.05033369,0.07804517
