frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.03876737,0.003278028,0.09045708,0.04593958,0.06082566,0.05014214,0.07507508,0.04691102,0.04513332,0.09141988,0.0427844,0.0554373,0.01531325,0.17201,0.03026477,0.02465707,0.05295281,0.07626837,0.05047394,0.07221805
1,0.03888882,0.003073661,0.09052824,0.04580586,0.06056081,0.05023874,0.07507512,0.04700856,0.04518644,0.09121707,0.04287875,0.05622532,0.01530612,0.1708877,0.02931116,0.02459702,0.05269473,0.07624409,0.05047043,0.0729591
2,0.03916155,0.003031102,0.09094709,0.0456176,0.06030523,0.05044161,0.0750735,0.04693724,0.04582053,0.09123945,0.0425806,0.05651785,0.01529534,0.1677573,0.02815784,0.02440656,0.05186579,0.07621329,0.05046846,0.07542506
3,0.03954496,0.003018204,0.09128682,0.04543209,0.06015811,0.05062479,0.07507168,0.04682121,0.04765867,0.09094218,0.04222554,0.05683905,0.01528351,0.1648695,0.02690842,0.02423809,0.05085848,0.07618611,0.05047383,0.07807644
4,0.04020923,0.003660036,0.09213559,0.04528477,0.06028446,0.05071836,0.07506993,0.04670551,0.04963014,0.09020147,0.04200325,0.05713268,0.01527295,0.1619204,0.02567715,0.02414532,0.05010123,0.07615699,0.05049252,0.08088611
5,0.04032505,0.003500395,0.09187149,0.04512879,0.06055243,0.05089322,0.07506922,0.0466764,0.05173188,0.08990914,0.04222603,0.05738017,0.01525978,0.1581308,0.02451975,0.02405118,0.04937835,0.07613321,0.05050846,0.08349691
6,0.04045393,0.003485088,0.09152076,0.04501918,0.06063949,0.0510681,0.07506733,0.04659343,0.05325814,0.08880913,0.04216286,0.0579211,0.01524757,0.1543014,0.02342759,0.02389454,0.04856667,0.07611509,0.05053568,0.08573855
7,0.04106171,0.003700371,0.09202844,0.04495366,0.06076744,0.05131393,0.07506607,0.0465211,0.05543292,0.08751489,0.04225735,0.05885053,0.01523766,0.1512156,0.02243882,0.02377255,0.04792335,0.07609952,0.05054698,0.08734038
8,0.04152043,0.003881134,0.09237324,0.0448643,0.06080846,0.05145317,0.07506552,0.04644275,0.056806,0.0863014,0.04251814,0.05934216,0.01522616,0.1477316,0.0214942,0.0236636,0.0475916,0.07609604,0.05056494,0.08870768
9,0.04203517,0.004271729,0.09333384,0.04479455,0.06077972,0.05154217,0.07506489,0.04637133,0.05763358,0.08509786,0.04288867,0.06007055,0.01521552,0.1446468,0.02060919,0.02356037,0.04716933,0.07608698,0.05060752,0.0892472
10,0.04213927,0.004219007,0.09351724,0.04465448,0.06082758,0.05171821,0.07506403,0.04636503,0.05870463,0.08387455,0.04315633,0.06110016,0.01520597,0.1426443,0.01979188,0.0233897,0.04665883,0.07609091,0.05063693,0.08983064
11,0.04220165,0.004169124,0.09362209,0.04454018,0.06083928,0.05186568,0.07506298,0.04633371,0.05968217,0.0825861,0.04288693,0.06164778,0.01519716,0.1409251,0.01901127,0.0231766,0.0461406,0.07610101,0.05066324,0.09028324
12,0.04232213,0.003938282,0.09386116,0.04443515,0.06080306,0.05202143,0.0750621,0.04630193,0.06023838,0.08184547,0.0426475,0.06227485,0.01518849,0.1388024,0.018276,0.02303861,0.04546093,0.07609839,0.05068419,0.09038927
