frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.012,0.0,0.032,0.0,0.088,0.002,0.0,0.0,0.072,0.0,0.11000000000000001,0.0,0.076,0.0,0.0,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.004,0.0,0.032,0.0,0.10600000000000001,0.014000000000000002,0.012,0.004,0.074,0.01,0.098,0.016,0.05600000000000001,0.0,0.0,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.02,0.0,0.126,0.018,0.022,0.006,0.06999999999999999,0.014000000000000002,0.08199999999999999,0.026000000000000002,0.038,0.002,0.0,0.0
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.044,0.02,0.0,0.02,0.0,0.126,0.024,0.034,0.016,0.074,0.014000000000000002,0.074,0.026000000000000002,0.008,0.002,0.0,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.02,0.0,0.0,0.0,0.10200000000000001,0.02,0.032,0.02,0.068,0.004,0.072,0.024,0.024,0.002,0.0,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.01,0.0,0.0,0.0,0.072,0.016,0.036,0.026000000000000002,0.054000000000000006,0.0,0.057999999999999996,0.014000000000000002,0.016,0.0,0.0,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.057999999999999996,0.006,0.036,0.026000000000000002,0.044,0.0,0.046,0.008,0.016,0.0,0.0,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.0,0.008,0.0,0.064,0.002,0.034,0.028000000000000004,0.041999999999999996,0.0,0.032,0.008,0.008,0.0,0.0,0.004
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.006,0.0,0.008,0.0,0.078,0.0,0.03,0.03,0.052000000000000005,0.0,0.036,0.016,0.012,0.0,0.002,0.004
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.006,0.0,0.01,0.0,0.094,0.0,0.026000000000000002,0.032,0.048,0.0,0.032,0.016,0.02,0.0,0.002,0.012
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.004,0.0,0.016,0.0,0.11000000000000001,0.0,0.02,0.032,0.04,0.0,0.026000000000000002,0.01,0.022,0.0,0.004,0.02
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.022,0.0,0.122,0.0,0.012,0.032,0.044,0.0,0.02,0.0,0.02,0.0,0.01,0.026000000000000002
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.02,0.0,0.124,0.0,0.004,0.03,0.04,0.0,0.02,0.004,0.024,0.0,0.022,0.024
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.006,0.0,0.096,0.0,0.008,0.03,0.032,0.0,0.022,0.008,0.026000000000000002,0.008,0.02,0.018
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.01,0.0,0.088,0.0,0.016,0.036,0.022,0.002,0.018,0.01,0.024,0.04,0.028000000000000004,0.018
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.01,0.0,0.08,0.0,0.028000000000000004,0.046,0.018,0.002,0.02,0.006,0.012,0.05600000000000001,0.016,0.012
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.01,0.0,0.096,0.0,0.034,0.054000000000000006,0.022,0.002,0.012,0.002,0.0,0.062,0.016,0.006
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,0.002,0.026000000000000002,0.054000000000000006,0.014000000000000002,0.0,0.01,0.0,0.0,0.068,0.004,0.0
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.002,0.022,0.046,0.006,0.0,0.008,0.0,0.0,0.08,0.006,0.0
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.002,0.018,0.046,0.0,0.0,0.01,0.0,0.0,0.1,0.006,0.0
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.002,0.022,0.048,0.0,0.0,0.01,0.0,0.0,0.096,0.006,0.0
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.002,0.018,0.05,0.0,0.004,0.0,0.004,0.0,0.11000000000000001,0.004,0.0
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,0.002,0.022,0.05,0.0,0.004,0.0,0.004,0.0,0.118,0.012,0.0
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,0.002,0.016,0.044,0.0,0.01,0.008,0.004,0.004,0.124,0.022,0.0
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.002,0.016,0.044,0.0,0.008,0.008,0.0,0.004,0.11599999999999999,0.028000000000000004,0.004
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.006,0.04,0.0,0.016,0.012,0.0,0.004,0.10400000000000001,0.022,0.004
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.018,0.04,0.0,0.012,0.006,0.0,0.0,0.11200000000000002,0.016,0.014000000000000002
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.018,0.04,0.0,0.018,0.008,0.0,0.0,0.11200000000000002,0.012,0.012
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.022,0.041999999999999996,0.0,0.016,0.006,0.0,0.0,0.118,0.016,0.022
29,1.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.08199999999999999,0.0,0.016,0.048,0.0,0.016,0.004,0.0,0.0,0.11399999999999999,0.018,0.022
