frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.032,0.0,0.0,0.10400000000000001,0.0,0.0,0.086,0.248,0.0,0.0,0.0,0.0,0.068,0.06,0.016
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.012,0.008,0.0,0.10600000000000001,0.0,0.0,0.088,0.238,0.0,0.0,0.0,0.0,0.06,0.074,0.028000000000000004
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.004,0.012,0.0,0.10800000000000001,0.0,0.0,0.09,0.22999999999999998,0.0,0.0,0.0,0.0,0.057999999999999996,0.08199999999999999,0.036
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.008,0.004,0.0,0.10600000000000001,0.0,0.0,0.09,0.22799999999999998,0.0,0.0,0.0,0.0,0.064,0.08399999999999999,0.038
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.0,0.006,0.004,0.0,0.096,0.0,0.0,0.09,0.242,0.0,0.0,0.0,0.0,0.057999999999999996,0.076,0.05600000000000001
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.004,0.0,0.0,0.08399999999999999,0.0,0.0,0.092,0.268,0.012,0.0,0.0,0.0,0.052000000000000005,0.068,0.06999999999999999
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.10200000000000001,0.29,0.02,0.0,0.0,0.0,0.048,0.074,0.06999999999999999
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.002,0.0,0.068,0.004,0.0,0.12,0.314,0.026000000000000002,0.022,0.024,0.0,0.038,0.072,0.06
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.004,0.0,0.06,0.01,0.0,0.15,0.348,0.014000000000000002,0.044,0.052000000000000005,0.0,0.036,0.08,0.041999999999999996
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.004,0.008,0.0,0.06,0.018,0.0,0.19,0.4,0.006,0.048,0.076,0.0,0.044,0.076,0.03
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.006,0.008,0.068,0.024,0.0,0.22999999999999998,0.42800000000000005,0.0,0.038,0.068,0.0,0.062,0.09,0.01
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.016,0.074,0.024,0.0,0.256,0.438,0.0,0.038,0.046,0.0,0.074,0.094,0.002
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.068,0.018,0.0,0.272,0.422,0.0,0.06,0.022,0.0,0.072,0.088,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.04,0.008,0.0,0.286,0.42400000000000004,0.0,0.064,0.008,0.0,0.076,0.086,0.0
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.02,0.006,0.0,0.298,0.438,0.0,0.062,0.0,0.0,0.076,0.072,0.0
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.01,0.012,0.0,0.302,0.45599999999999996,0.0,0.057999999999999996,0.0,0.0,0.08,0.066,0.0
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.016,0.016,0.0,0.302,0.46399999999999997,0.0,0.057999999999999996,0.0,0.0,0.08,0.054000000000000006,0.0
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.02,0.018,0.0,0.302,0.45599999999999996,0.0,0.05600000000000001,0.0,0.002,0.08,0.044,0.0
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.044,0.022,0.016,0.0,0.302,0.45,0.0,0.064,0.0,0.004,0.08,0.041999999999999996,0.0
