frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.21200000000000002,0.0,0.0,0.1,0.184,0.16999999999999998,0.22400000000000003,0.0,0.0,0.0,0.006,0.062
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.002,0.21000000000000002,0.0,0.0,0.10800000000000001,0.182,0.142,0.21400000000000002,0.0,0.0,0.0,0.002,0.022
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.202,0.0,0.0,0.11000000000000001,0.182,0.134,0.21200000000000002,0.0,0.0,0.002,0.0,0.002
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.198,0.0,0.0,0.11200000000000002,0.182,0.13799999999999998,0.21000000000000002,0.0,0.0,0.004,0.0,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.188,0.0,0.0,0.11200000000000002,0.186,0.15,0.21000000000000002,0.0,0.0,0.004,0.0,0.002
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.186,0.0,0.0,0.11200000000000002,0.184,0.152,0.20400000000000001,0.0,0.004,0.002,0.0,0.01
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.192,0.0,0.0,0.11200000000000002,0.186,0.152,0.2,0.0,0.006,0.0,0.0,0.012
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.188,0.0,0.0,0.10800000000000001,0.19,0.142,0.2,0.0,0.006,0.012,0.0,0.012
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.198,0.0,0.0,0.088,0.178,0.126,0.21000000000000002,0.0,0.002,0.026000000000000002,0.02,0.006
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.20400000000000001,0.0,0.0,0.05,0.11599999999999999,0.076,0.194,0.0,0.0,0.148,0.176,0.002
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.0,0.0,0.254,0.0,0.0,0.018,0.048,0.034,0.134,0.0,0.0,0.3,0.358,0.006
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.004,0.057999999999999996,0.0,0.0,0.41,0.524,0.006
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.006,0.02,0.0,0.0,0.41,0.546,0.016
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.20600000000000002,0.002,0.0,0.308,0.0,0.01,0.0,0.0,0.006,0.028000000000000004,0.0,0.0,0.4,0.562,0.032
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.244,0.002,0.004,0.33799999999999997,0.0,0.024,0.0,0.0,0.002,0.034,0.0,0.0,0.462,0.572,0.054000000000000006
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.264,0.002,0.014000000000000002,0.352,0.0,0.036,0.0,0.0,0.0,0.024,0.0,0.0,0.514,0.5980000000000001,0.08
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.272,0.0,0.026000000000000002,0.348,0.0,0.041999999999999996,0.0,0.0,0.0,0.018,0.0,0.0,0.546,0.5980000000000001,0.09
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.27799999999999997,0.0,0.03,0.35,0.002,0.048,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.536,0.5940000000000001,0.088
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.282,0.0,0.034,0.348,0.008,0.057999999999999996,0.0,0.0,0.0,0.034,0.0,0.0,0.53,0.584,0.06
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.282,0.0,0.036,0.366,0.016,0.062,0.0,0.0,0.0,0.034,0.0,0.0,0.516,0.5820000000000001,0.046
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.274,0.0,0.048,0.354,0.02,0.066,0.0,0.0,0.0,0.034,0.0,0.0,0.51,0.588,0.052000000000000005
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.268,0.0,0.05,0.36,0.02,0.068,0.0,0.0,0.0,0.032,0.0,0.0,0.512,0.5940000000000001,0.06
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.27,0.0,0.05,0.37,0.018,0.074,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.518,0.596,0.05600000000000001
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.272,0.0,0.041999999999999996,0.392,0.012,0.074,0.0,0.0,0.0,0.016,0.0,0.0,0.524,0.602,0.046
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.27999999999999997,0.0,0.038,0.398,0.01,0.06999999999999999,0.0,0.0,0.0,0.016,0.0,0.0,0.524,0.6,0.052000000000000005
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.27999999999999997,0.0,0.036,0.404,0.01,0.062,0.0,0.0,0.0,0.02,0.0,0.0,0.522,0.61,0.06
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.288,0.002,0.04,0.414,0.014000000000000002,0.05600000000000001,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.522,0.612,0.05600000000000001
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.29,0.012,0.04,0.41200000000000003,0.01,0.052000000000000005,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.526,0.618,0.062
28,1.12,0.93,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.296,0.02,0.041999999999999996,0.40800000000000003,0.006,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.53,0.616,0.076
29,1.16,0.93,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.294,0.02,0.041999999999999996,0.4,0.002,0.05,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.532,0.614,0.086
30,1.2,0.93,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.3,0.01,0.05,0.398,0.006,0.05,0.0,0.0,0.0,0.024,0.0,0.0,0.538,0.62,0.08
31,1.24,0.93,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.048,0.4,0.012,0.052000000000000005,0.0,0.0,0.0,0.022,0.0,0.0,0.532,0.62,0.074
32,1.28,0.93,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.306,0.0,0.05,0.41600000000000004,0.02,0.05600000000000001,0.0,0.0,0.0,0.018,0.0,0.0,0.53,0.62,0.072
33,1.32,0.93,1,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.31,0.0,0.044,0.434,0.026000000000000002,0.05600000000000001,0.0,0.0,0.0,0.012,0.0,0.0,0.53,0.61,0.08
34,1.36,0.93,1,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.312,0.0,0.046,0.43,0.026000000000000002,0.057999999999999996,0.0,0.0,0.0,0.016,0.0,0.0,0.532,0.614,0.06999999999999999
