frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.032,0.016,0.172,0.0,0.0,0.0,0.16399999999999998,0.0,0.052000000000000005,0.0,0.0,0.182,0.048,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.16399999999999998,0.01,0.014000000000000002,0.18,0.0,0.014000000000000002,0.0,0.176,0.0,0.018,0.0,0.0,0.198,0.068,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.16,0.0,0.014000000000000002,0.172,0.0,0.014000000000000002,0.0,0.172,0.0,0.0,0.0,0.0,0.196,0.072,0.002
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.162,0.0,0.016,0.13,0.0,0.014000000000000002,0.0,0.144,0.0,0.0,0.0,0.0,0.192,0.072,0.018
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.024,0.174,0.0,0.014000000000000002,0.13999999999999999,0.002,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.18,0.074,0.032
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.032,0.18,0.0,0.008,0.124,0.002,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.182,0.086,0.04
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.048,0.178,0.0,0.002,0.128,0.002,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.174,0.076,0.04
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.048,0.184,0.0,0.006,0.118,0.0,0.0,0.0,0.144,0.0,0.006,0.0,0.0,0.16799999999999998,0.05600000000000001,0.041999999999999996
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.038,0.188,0.0,0.008,0.12,0.0,0.0,0.0,0.13,0.0,0.01,0.0,0.0,0.162,0.032,0.046
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.012,0.19,0.002,0.01,0.10800000000000001,0.0,0.002,0.0,0.13,0.004,0.01,0.0,0.0,0.16599999999999998,0.026000000000000002,0.046
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.196,0.002,0.008,0.10200000000000001,0.0,0.002,0.0,0.122,0.006,0.004,0.0,0.0,0.174,0.04,0.044
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.194,0.002,0.01,0.08399999999999999,0.0,0.002,0.0,0.142,0.016,0.0,0.0,0.0,0.176,0.057999999999999996,0.044
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.19,0.0,0.012,0.078,0.0,0.0,0.0,0.158,0.012,0.0,0.0,0.0,0.176,0.06999999999999999,0.03
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.18,0.0,0.01,0.06999999999999999,0.004,0.0,0.0,0.16,0.01,0.0,0.0,0.0,0.18,0.062,0.028000000000000004
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.024,0.186,0.0,0.014000000000000002,0.08199999999999999,0.004,0.006,0.0,0.152,0.0,0.004,0.0,0.0,0.172,0.04,0.014000000000000002
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.028000000000000004,0.194,0.0,0.014000000000000002,0.09,0.004,0.006,0.0,0.132,0.002,0.004,0.0,0.0,0.16799999999999998,0.04,0.036
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.038,0.2,0.004,0.022,0.088,0.004,0.006,0.0,0.134,0.008,0.004,0.0,0.0,0.156,0.04,0.036
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.054000000000000006,0.198,0.004,0.016,0.08199999999999999,0.004,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.16399999999999998,0.057999999999999996,0.048
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.076,0.198,0.008,0.018,0.088,0.022,0.0,0.0,0.13999999999999999,0.016,0.0,0.0,0.0,0.16,0.05600000000000001,0.024
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.11200000000000002,0.2,0.022,0.01,0.1,0.026000000000000002,0.0,0.0,0.136,0.012,0.012,0.0,0.0,0.16399999999999998,0.054000000000000006,0.032
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.10600000000000001,0.19,0.038,0.012,0.10600000000000001,0.034,0.0,0.0,0.144,0.008,0.012,0.0,0.0,0.158,0.046,0.028000000000000004
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,0.1,0.186,0.05,0.004,0.118,0.02,0.0,0.0,0.156,0.0,0.012,0.0,0.0,0.174,0.05,0.05
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.046,0.094,0.182,0.046,0.002,0.134,0.022,0.0,0.0,0.16799999999999998,0.0,0.0,0.0,0.0,0.176,0.05600000000000001,0.068
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.044,0.074,0.188,0.03,0.0,0.13799999999999998,0.014000000000000002,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.186,0.054000000000000006,0.08199999999999999
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,0.05,0.20800000000000002,0.014000000000000002,0.0,0.146,0.008,0.002,0.0,0.152,0.0,0.0,0.0,0.0,0.182,0.044,0.098
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.088,0.034,0.27599999999999997,0.0,0.044,0.262,0.024,0.004,0.0,0.178,0.004,0.0,0.0,0.0,0.182,0.048,0.242
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.11200000000000002,0.028000000000000004,0.364,0.0,0.088,0.398,0.048,0.034,0.0,0.21400000000000002,0.004,0.002,0.0,0.0,0.188,0.054000000000000006,0.414
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.124,0.028000000000000004,0.42000000000000004,0.0,0.126,0.502,0.062,0.032,0.0,0.20600000000000002,0.004,0.002,0.0,0.0,0.176,0.052000000000000005,0.502
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.40800000000000003,0.0,0.10600000000000001,0.434,0.046,0.028000000000000004,0.0,0.188,0.0,0.01,0.0,0.0,0.16999999999999998,0.06,0.374
29,1.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.382,0.0,0.078,0.33799999999999997,0.034,0.0,0.0,0.16,0.0,0.008,0.0,0.0,0.142,0.06,0.20800000000000002
30,1.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.358,0.0,0.048,0.266,0.02,0.0,0.0,0.172,0.0,0.008,0.0,0.0,0.15,0.076,0.11399999999999999
31,1.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.368,0.0,0.028000000000000004,0.24,0.014000000000000002,0.0,0.0,0.16599999999999998,0.008,0.0,0.0,0.0,0.144,0.08199999999999999,0.074
32,1.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.368,0.0,0.02,0.22200000000000003,0.004,0.002,0.0,0.154,0.016,0.0,0.0,0.0,0.152,0.092,0.066
33,1.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.38,0.0,0.01,0.178,0.002,0.002,0.0,0.134,0.038,0.0,0.0,0.0,0.142,0.08399999999999999,0.03
34,1.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.368,0.0,0.006,0.154,0.002,0.004,0.0,0.10400000000000001,0.05,0.002,0.0,0.0,0.146,0.08199999999999999,0.03
35,1.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.356,0.0,0.002,0.13,0.002,0.004,0.0,0.1,0.046,0.002,0.0,0.0,0.152,0.08199999999999999,0.01
36,1.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.33799999999999997,0.0,0.01,0.13999999999999999,0.0,0.012,0.0,0.10600000000000001,0.032,0.002,0.0,0.0,0.162,0.094,0.01
37,1.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.33399999999999996,0.0,0.01,0.13799999999999998,0.0,0.01,0.0,0.11200000000000002,0.012,0.0,0.0,0.0,0.154,0.10200000000000001,0.0
38,1.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.0,0.32999999999999996,0.0,0.008,0.136,0.0,0.014000000000000002,0.0,0.12,0.006,0.0,0.0,0.0,0.156,0.10600000000000001,0.0
39,1.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.0,0.33799999999999997,0.004,0.0,0.11399999999999999,0.0,0.006,0.0,0.128,0.0,0.01,0.0,0.0,0.146,0.10600000000000001,0.0
40,1.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.004,0.34199999999999997,0.004,0.0,0.122,0.0,0.006,0.0,0.158,0.008,0.018,0.0,0.0,0.134,0.098,0.0
41,1.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.004,0.344,0.004,0.0,0.11000000000000001,0.0,0.0,0.0,0.154,0.008,0.022,0.0,0.0,0.128,0.09,0.0
42,1.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.022,0.32999999999999996,0.006,0.0,0.1,0.0,0.0,0.0,0.142,0.016,0.052000000000000005,0.0,0.0,0.142,0.08399999999999999,0.0
43,1.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.036,0.32799999999999996,0.008,0.0,0.072,0.0,0.0,0.0,0.11599999999999999,0.016,0.062,0.0,0.0,0.152,0.092,0.0
44,1.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.036,0.33599999999999997,0.008,0.0,0.078,0.0,0.0,0.0,0.122,0.016,0.072,0.0,0.0,0.158,0.11000000000000001,0.0
45,1.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.33999999999999997,0.002,0.0,0.074,0.0,0.0,0.0,0.148,0.008,0.054000000000000006,0.0,0.0,0.156,0.122,0.0
46,1.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.024,0.002,0.33399999999999996,0.004,0.012,0.078,0.0,0.0,0.0,0.21800000000000003,0.0,0.076,0.002,0.026000000000000002,0.122,0.09,0.002
47,1.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.002,0.32599999999999996,0.004,0.024,0.096,0.0,0.004,0.002,0.34199999999999997,0.0,0.136,0.014000000000000002,0.062,0.068,0.057999999999999996,0.024
48,1.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33799999999999997,0.004,0.041999999999999996,0.122,0.0,0.004,0.01,0.43600000000000005,0.0,0.202,0.03,0.098,0.01,0.026000000000000002,0.03
49,1.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.348,0.0,0.041999999999999996,0.156,0.0,0.006,0.014000000000000002,0.484,0.01,0.268,0.05,0.098,0.0,0.024,0.052000000000000005
