frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.006,0.08,0.064,0.0,0.0,0.096,0.064,0.122,0.0,0.05600000000000001,0.076,0.146,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13799999999999998,0.0,0.004,0.068,0.074,0.0,0.0,0.11200000000000002,0.05,0.11200000000000002,0.014000000000000002,0.057999999999999996,0.048,0.11399999999999999,0.0
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.012,0.052000000000000005,0.074,0.0,0.0,0.124,0.06,0.1,0.014000000000000002,0.057999999999999996,0.05,0.11000000000000001,0.0
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11599999999999999,0.0,0.022,0.052000000000000005,0.074,0.0,0.0,0.132,0.066,0.078,0.02,0.05,0.057999999999999996,0.11200000000000002,0.004
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11200000000000002,0.0,0.03,0.08,0.068,0.0,0.0,0.124,0.038,0.066,0.014000000000000002,0.052000000000000005,0.041999999999999996,0.118,0.004
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.032,0.11399999999999999,0.074,0.0,0.0,0.11000000000000001,0.026000000000000002,0.054000000000000006,0.014000000000000002,0.05600000000000001,0.018,0.10200000000000001,0.004
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.026000000000000002,0.1,0.06999999999999999,0.0,0.0,0.11000000000000001,0.038,0.068,0.016,0.057999999999999996,0.008,0.098,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.024,0.088,0.072,0.0,0.0,0.11399999999999999,0.057999999999999996,0.05600000000000001,0.022,0.057999999999999996,0.008,0.092,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.02,0.048,0.06999999999999999,0.0,0.0,0.10400000000000001,0.044,0.04,0.022,0.05,0.014000000000000002,0.1,0.0
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.022,0.038,0.08199999999999999,0.0,0.0,0.10600000000000001,0.05,0.014000000000000002,0.014000000000000002,0.052000000000000005,0.01,0.1,0.0
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.02,0.014000000000000002,0.072,0.0,0.0,0.1,0.05600000000000001,0.016,0.002,0.052000000000000005,0.016,0.10600000000000001,0.0
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.014000000000000002,0.012,0.068,0.0,0.0,0.11599999999999999,0.076,0.028000000000000004,0.002,0.052000000000000005,0.014000000000000002,0.09,0.0
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.006,0.018,0.057999999999999996,0.0,0.0,0.11399999999999999,0.068,0.03,0.0,0.05,0.026000000000000002,0.09,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11399999999999999,0.0,0.008,0.014000000000000002,0.057999999999999996,0.0,0.0,0.12,0.066,0.036,0.0,0.05600000000000001,0.044,0.118,0.0
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.012,0.014000000000000002,0.057999999999999996,0.0,0.0,0.124,0.066,0.048,0.0,0.064,0.04,0.15,0.0
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.024,0.002,0.068,0.0,0.0,0.124,0.08,0.06999999999999999,0.0,0.06999999999999999,0.04,0.16,0.0
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11399999999999999,0.0,0.024,0.0,0.078,0.0,0.0,0.11599999999999999,0.08199999999999999,0.08,0.0,0.066,0.028000000000000004,0.146,0.0
