frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.028000000000000004,0.034,0.08,0.0,0.0,0.018,0.13999999999999999,0.088,0.062,0.002,0.0,0.064,0.078,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.016,0.04,0.08399999999999999,0.0,0.0,0.016,0.158,0.05,0.054000000000000006,0.014000000000000002,0.002,0.03,0.032,0.002
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.006,0.052000000000000005,0.1,0.0,0.002,0.014000000000000002,0.16999999999999998,0.022,0.041999999999999996,0.02,0.008,0.008,0.004,0.002
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.062,0.092,0.0,0.002,0.02,0.174,0.002,0.032,0.02,0.006,0.006,0.002,0.002
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.06999999999999999,0.088,0.0,0.002,0.016,0.176,0.002,0.02,0.008,0.004,0.008,0.0,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.098,0.0,0.06999999999999999,0.094,0.0,0.0,0.012,0.16999999999999998,0.002,0.028000000000000004,0.0,0.0,0.008,0.004,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.01,0.1,0.0,0.064,0.10600000000000001,0.0,0.006,0.004,0.16999999999999998,0.0,0.026000000000000002,0.0,0.0,0.008,0.01,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.018,0.08399999999999999,0.0,0.064,0.096,0.0,0.006,0.004,0.178,0.0,0.024,0.0,0.0,0.0,0.01,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.02,0.08399999999999999,0.01,0.064,0.08399999999999999,0.0,0.01,0.008,0.202,0.0,0.012,0.0,0.002,0.0,0.006,0.0
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.041999999999999996,0.078,0.014000000000000002,0.06,0.09,0.0,0.004,0.008,0.20600000000000002,0.0,0.006,0.0,0.002,0.0,0.0,0.0
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.048,0.09,0.03,0.06,0.1,0.0,0.004,0.008,0.20600000000000002,0.0,0.008,0.002,0.002,0.0,0.0,0.0
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.036,0.092,0.024,0.054000000000000006,0.11200000000000002,0.0,0.0,0.0,0.192,0.0,0.004,0.002,0.002,0.0,0.004,0.0
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.016,0.092,0.02,0.054000000000000006,0.094,0.0,0.0,0.004,0.188,0.0,0.002,0.008,0.008,0.0,0.008,0.0
